station_id,number_of_chargers,max_station_power_kw,parking_spots,station_age_years,charger_type,station_type,renewable_energy_source,avg_utilization,congestion_freq,total_sessions,avg_wait_time,avg_session_duration,power_per_charger,charger_to_parking_ratio,target_high_util,target_high_congestion,availability,avg_capacity_utilization,avg_duration_min,avg_energy_per_session,avg_revenue_per_session,avg_users_per_day,avg_utilization_rate,avg_wait_time_min,city,congested_hours,max_queue_length,pct_long_wait_sessions,peak_sessions,total_energy_kwh,total_revenue_usd,norm_demand,norm_capacity,norm_congestion,gap_score,priority_tier,revenue_per_charger,sessions_per_charger
EVS00013,1,22,2,14,AC Level 1,Destination/AC,No,0.8890769784172662,0.8273381294964028,140,8.549460431654676,59.07671428571428,22.0,0.5,1,1,9:00-18:00,0.7645,59.08,16.02,2.61,136.0,0.8891,8.55,Unknown,16100,6.0,16.43,6255,311699.44,50876.78,0.6129032258064516,0.0,0.8273381294964028,0.5761,Critical Congestion,50876.78,140.0
EVS00014,4,200,9,14,AC Level 2,Fast Charging,Yes,0.2673211180124223,0.15527950310559,162,3.29527950310559,63.7616049382716,50.0,0.4444444444444444,0,0,24/7,0.0888,63.76,18.41,3.02,140.0,0.2673,3.29,Unknown,4050,3.0,1.23,9660,480044.04,78786.96,0.7142857142857143,0.06407487401007919,0.15527950310559,0.335,Healthy Stable,19696.74,40.5
EVS00015,5,1750,10,13,AC Level 2,Ultra-Fast Charging,Yes,0.2032166666666666,0.14,150,2.5315333333333334,60.964933333333335,350.0,0.5,0,0,24/7,0.0099,60.96,17.08,7.18,133.0,0.2032,2.53,Unknown,3150,3.0,0.67,8250,384339.6,161566.5,0.6589861751152074,0.6220302375809935,0.14,0.1952,Healthy Stable,32313.3,30.0
EVS00016,7,154,9,6,AC Level 2,Destination/AC,No,0.140445205479452,0.1301369863013698,148,1.9286986301369864,58.19040540540541,22.0,0.7777777777777778,0,0,6:00-22:00,0.1128,58.19,16.18,5.63,144.0,0.1404,1.93,Unknown,2812,3.0,0.0,7592,349523.27,121606.32,0.6497695852534563,0.04751619870410367,0.1301369863013698,0.3025,Low Demand,17372.33,21.14
EVS00017,2,700,3,8,AC Level 1,Ultra-Fast Charging,No,0.5171632075471698,0.2358490566037736,106,4.852075471698113,62.19292452830189,350.0,0.6666666666666666,1,0,6:00-22:00,0.0245,62.19,17.48,3.04,99.0,0.5172,4.85,Unknown,2650,3.0,4.72,3286,196423.41,34136.24,0.45622119815668205,0.244060475161987,0.2358490566037736,0.228,Healthy Stable,17068.12,53.0
EVS00018,4,600,7,3,AC Level 1,Fast Charging,No,0.2445647058823529,0.0,34,0.861764705882353,58.69647058823529,150.0,0.5714285714285714,0,0,24/7,0.028,58.7,15.08,6.77,36.0,0.2446,0.86,Unknown,0,1.0,0.0,340,17428.84,7830.88,0.12442396313364054,0.20806335493160547,0.0,0.0082,Healthy Stable,1957.72,8.5
EVS00019,1,350,2,9,AC Level 1,Ultra-Fast Charging,No,0.8964060606060607,0.8545454545454545,165,8.506121212121212,61.47781818181818,350.0,0.5,1,1,9:00-18:00,0.0502,61.48,17.28,4.41,153.0,0.8964,8.51,Unknown,23265,6.0,13.94,9240,470341.91,120002.85,0.7281105990783411,0.11807055435565153,0.8545454545454545,0.6094,Critical Congestion,120002.85,165.0
EVS00020,3,1050,5,3,DC Fast Charger,Ultra-Fast Charging,Yes,0.2861859813084112,0.1308411214953271,108,2.5018691588785047,51.0362962962963,350.0,0.6,0,0,6:00-22:00,0.0236,51.04,18.03,4.6,89.0,0.2862,2.54,Unknown,1512,3.0,0.93,3638,208346.87,53142.62,0.46543778801843316,0.37005039596832257,0.1308411214953271,0.1645,Healthy Stable,17714.21,36.0
EVS00021,5,750,10,10,DC Fast Charger,Fast Charging,Yes,0.1689176991150442,0.0353982300884955,113,1.905221238938053,50.674513274336284,150.0,0.5,0,0,6:00-22:00,0.0318,50.67,17.1,5.23,97.0,0.1689,1.91,Unknown,452,2.0,0.0,3503,218298.82,66773.96,0.48847926267281105,0.2620590352771778,0.0353982300884955,0.1571,Overbuilt,13354.79,22.6
EVS00022,3,1050,5,6,AC Level 2,Ultra-Fast Charging,No,0.3388472972972973,0.0675675675675675,74,2.5894594594594595,60.99202702702703,350.0,0.6,0,0,24/7,0.0169,60.99,17.67,1.82,76.0,0.3388,2.59,Unknown,370,4.0,1.35,2442,96766.47,9984.82,0.3087557603686636,0.37005039596832257,0.0675675675675675,0.0765,Healthy Stable,3328.27,24.67
EVS00023,6,2100,10,6,AC Level 2,Ultra-Fast Charging,Yes,0.1582210526315789,0.0263157894736842,38,1.2060526315789473,56.96342105263158,350.0,0.6,0,0,9:00-18:00,0.0087,56.96,16.91,7.45,45.0,0.1582,1.21,Unknown,38,2.0,0.0,608,24413.75,10755.9,0.14285714285714285,0.748020158387329,0.0263157894736842,-0.0819,Overbuilt,1792.65,6.33
EVS00024,1,22,2,3,DC Fast Charger,Destination/AC,Yes,0.9086015228426396,0.817258883248731,199,8.804137055837563,62.663819095477386,22.0,0.5,1,1,24/7,0.7715,62.66,17.13,3.67,167.0,0.9086,8.82,Unknown,32039,5.0,17.59,13199,671647.86,143853.34,0.8847926267281107,0.0,0.817258883248731,0.6808,Critical Congestion,143853.34,199.0
EVS00025,6,300,7,5,AC Level 1,Fast Charging,No,0.1745239999999999,0.1133333333333333,153,2.6616,61.59725490196078,50.0,0.8571428571428571,0,0,9:00-18:00,0.0569,61.6,16.7,8.53,143.0,0.1745,2.68,Unknown,2601,3.0,0.0,7950,383237.85,195838.5,0.6728110599078341,0.10007199424046076,0.1133333333333333,0.2944,Low Demand,32639.75,25.5
EVS00026,1,50,1,11,DC Fast Charger,Fast Charging,No,0.7650931297709923,0.6946564885496184,131,8.581374045801528,49.21129770992366,50.0,1.0,1,1,24/7,0.461,49.21,16.24,7.8,121.0,0.7651,8.58,Unknown,11921,9.0,15.27,6026,278742.06,133798.16,0.5714285714285715,0.010079193664506839,0.6946564885496184,0.5044,Critical Congestion,133798.16,131.0
EVS00027,6,900,7,6,DC Fast Charger,Fast Charging,No,0.1453918918918919,0.0945945945945946,74,1.1572972972972972,52.34175675675676,150.0,0.8571428571428571,0,0,9:00-18:00,0.0259,52.34,16.81,8.56,81.0,0.1454,1.16,Unknown,518,2.0,0.0,1776,92059.03,46870.86,0.3087557603686636,0.3160547156227501,0.0945945945945946,0.0981,Overbuilt,7811.81,12.33
EVS00028,2,100,3,12,AC Level 1,Fast Charging,No,0.5032227272727273,0.435064935064935,156,7.878506493506493,59.86794871794872,50.0,0.6666666666666666,0,1,24/7,0.1687,59.87,16.1,4.14,150.0,0.5032,7.85,Unknown,10452,5.0,14.74,9702,386680.6,99419.32,0.6866359447004609,0.028077753779697623,0.435064935064935,0.4431,Healthy Stable,49709.66,78.0
EVS00029,7,154,9,9,AC Level 1,Destination/AC,No,0.1521943925233645,0.0841121495327102,108,1.4813084112149533,63.33185185185185,22.0,0.7777777777777778,0,0,6:00-22:00,0.1179,63.33,18.47,8.53,104.0,0.1522,1.47,Unknown,972,3.0,0.0,4601,213411.29,98588.73,0.46543778801843316,0.04751619870410367,0.0841121495327102,0.2103,Low Demand,14084.1,15.43
EVS00030,4,200,5,13,DC Fast Charger,Fast Charging,No,0.2228362637362637,0.0659340659340659,91,2.0893406593406594,53.481538461538456,50.0,0.8,0,0,6:00-22:00,0.1107,53.48,17.09,3.48,88.0,0.2228,2.09,Unknown,546,2.0,0.0,3185,141524.11,28801.5,0.3870967741935484,0.06407487401007919,0.0659340659340659,0.1684,Healthy Stable,7200.38,22.75
EVS00031,3,66,5,8,AC Level 2,Destination/AC,Yes,0.3397780487804878,0.1219512195121951,82,3.435731707317073,61.16036585365853,22.0,0.6,0,0,24/7,0.2675,61.16,17.08,2.97,89.0,0.3398,3.44,Unknown,820,3.0,0.0,2706,114862.16,19951.42,0.34562211981566815,0.015838732901367888,0.1219512195121951,0.1839,Healthy Stable,6650.47,27.33
EVS00032,2,300,3,6,AC Level 2,Fast Charging,Yes,0.5220893333333333,0.0933333333333333,75,2.5952,62.650266666666674,150.0,0.6666666666666666,1,0,9:00-18:00,0.0585,62.65,17.6,3.41,52.0,0.5221,2.6,Unknown,525,2.0,0.0,1800,98995.2,19192.5,0.31336405529953915,0.10007199424046076,0.0933333333333333,0.1427,Healthy Stable,9596.25,37.5
EVS00033,5,1750,7,8,DC Fast Charger,Ultra-Fast Charging,No,0.1892962962962963,0.074074074074074,27,0.5862962962962963,56.78962962962963,350.0,0.7142857142857143,0,0,24/7,0.0118,56.79,16.72,7.79,30.0,0.1893,0.59,Unknown,54,2.0,0.0,108,12187.34,5679.45,0.09216589861751152,0.6220302375809935,0.074074074074074,-0.0579,Overbuilt,1135.89,5.4
EVS00034,4,600,9,8,AC Level 1,Fast Charging,Yes,0.2508822033898305,0.1440677966101695,119,2.793898305084746,59.70647058823529,150.0,0.4444444444444444,0,0,6:00-22:00,0.0289,59.71,16.73,3.6,106.0,0.2509,2.79,Unknown,2023,4.0,0.84,5192,234966.44,50553.56,0.5161290322580645,0.20806335493160547,0.1440677966101695,0.2225,Healthy Stable,12638.39,29.75
EVS00035,2,100,2,11,AC Level 2,Fast Charging,Yes,0.5362153374233128,0.3987730061349693,165,6.871411042944785,63.5660606060606,50.0,1.0,1,1,9:00-18:00,0.1681,63.57,17.34,3.9,161.0,0.5362,6.88,Unknown,10725,5.0,11.52,9291,466468.35,104875.83,0.7281105990783411,0.028077753779697623,0.3987730061349693,0.4451,Critical Congestion,52437.92,82.5
EVS00036,3,66,4,14,AC Level 2,Destination/AC,Yes,0.3385875,0.0833333333333333,24,0.775,60.94625,22.0,0.75,0,0,6:00-22:00,0.2367,60.95,15.29,6.11,25.0,0.3386,0.78,Unknown,48,2.0,0.0,192,8807.88,3517.68,0.07834101382488479,0.015838732901367888,0.0833333333333333,0.0615,Healthy Stable,1172.56,8.0
EVS00037,1,350,1,10,AC Level 1,Ultra-Fast Charging,No,0.8890082191780821,0.8287671232876712,146,7.998972602739725,61.51883561643836,350.0,1.0,1,1,9:00-18:00,0.0484,61.52,16.61,4.9,156.0,0.889,8.0,Unknown,17666,6.0,13.01,6862,354065.04,104420.66,0.6405529953917051,0.11807055435565153,0.8287671232876712,0.5641,Critical Congestion,104420.66,146.0
EVS00038,2,44,4,8,AC Level 1,Destination/AC,Yes,0.4920058823529412,0.3790849673202614,154,6.873529411764706,58.65785714285714,22.0,0.5,0,1,9:00-18:00,0.4074,58.66,16.91,2.24,151.0,0.492,6.85,Unknown,8932,5.0,12.34,7344,398531.03,52830.9,0.6774193548387097,0.007919366450683946,0.3790849673202614,0.421,Healthy Stable,26415.45,77.0
EVS00039,1,350,3,3,DC Fast Charger,Ultra-Fast Charging,Yes,0.7726463768115942,0.5942028985507246,70,5.382753623188405,51.55685714285714,350.0,0.3333333333333333,1,1,24/7,0.0646,51.56,16.64,6.31,60.0,0.7726,5.36,Unknown,2870,5.0,4.29,1656,80393.97,30493.86,0.29032258064516125,0.11807055435565153,0.5942028985507246,0.3302,Critical Congestion,30493.86,70.0
EVS00040,1,50,1,14,AC Level 2,Fast Charging,No,0.8892435897435897,0.8205128205128205,118,8.555085470085471,62.4185593220339,50.0,1.0,1,1,24/7,0.3535,62.42,17.66,7.39,119.0,0.8892,8.58,Unknown,11328,5.0,12.71,4914,243837.13,102024.0,0.511520737327189,0.010079193664506839,0.8205128205128205,0.5308,Critical Congestion,102024.0,118.0
EVS00041,2,700,3,12,AC Level 1,Ultra-Fast Charging,No,0.5143295454545455,0.0681818181818181,44,2.395909090909091,61.72022727272727,350.0,0.6666666666666666,1,0,6:00-22:00,0.0217,61.72,15.11,6.81,42.0,0.5143,2.4,Unknown,132,3.0,0.0,748,29254.63,13192.08,0.17050691244239632,0.244060475161987,0.0681818181818181,0.0467,Healthy Stable,6596.04,22.0
EVS00042,2,100,3,3,DC Fast Charger,Fast Charging,No,0.4545266233766234,0.3571428571428571,155,6.146266233766234,54.38309677419355,50.0,0.6666666666666666,0,1,9:00-18:00,0.2221,54.38,17.18,6.84,140.0,0.4545,6.13,Unknown,8525,4.0,9.03,8470,410045.94,163380.14,0.6820276497695853,0.028077753779697623,0.3571428571428571,0.4101,Healthy Stable,81690.07,77.5
EVS00043,5,250,8,14,AC Level 1,Fast Charging,Yes,0.2096765625,0.1171875,128,2.331875,62.903828125,50.0,0.625,0,0,6:00-22:00,0.071,62.9,18.1,5.0,130.0,0.2097,2.33,Unknown,1920,4.0,0.0,6016,296623.87,81971.2,0.5576036866359447,0.08207343412526998,0.1171875,0.2535,Healthy Stable,16394.24,25.6
EVS00044,2,100,3,7,AC Level 1,Fast Charging,No,0.4956148648648648,0.2297297297297297,74,3.400810810810811,59.51702702702703,50.0,0.6666666666666666,0,0,9:00-18:00,0.1835,59.52,17.51,6.41,73.0,0.4956,3.4,Unknown,1258,3.0,1.35,1554,95882.61,35112.26,0.3087557603686636,0.028077753779697623,0.2297297297297297,0.2098,Healthy Stable,17556.13,37.0
EVS00045,2,44,3,8,AC Level 2,Destination/AC,Yes,0.5416777777777777,0.0,27,1.1737037037037037,65.00259259259259,22.0,0.6666666666666666,1,0,9:00-18:00,0.3684,65.0,16.85,6.89,26.0,0.5417,1.17,Unknown,0,1.0,0.0,189,12281.63,5019.57,0.09216589861751152,0.007919366450683946,0.0,0.0353,Healthy Stable,2509.78,13.5
EVS00046,2,100,3,6,DC Fast Charger,Fast Charging,No,0.4427948571428571,0.3885714285714285,175,7.446114285714286,53.13508571428571,50.0,0.6666666666666666,0,1,9:00-18:00,0.2221,53.14,17.18,3.85,175.0,0.4428,7.45,Unknown,11900,5.0,16.0,9100,526086.05,117971.0,0.7741935483870968,0.028077753779697623,0.3885714285714285,0.4595,Healthy Stable,58985.5,87.5
EVS00047,8,400,9,5,AC Level 1,Fast Charging,Yes,0.1295954545454545,0.0681818181818181,88,1.11,62.20613636363637,50.0,0.8888888888888888,0,0,24/7,0.0419,62.21,16.69,5.97,88.0,0.1296,1.11,Unknown,528,3.0,0.0,2728,129229.14,46223.76,0.3732718894009217,0.13606911447084233,0.0681818181818181,0.1494,Overbuilt,5777.97,11.0
EVS00048,2,300,4,4,DC Fast Charger,Fast Charging,No,0.4294426136363636,0.3352272727272727,176,6.5925,51.53357954545454,150.0,0.5,0,1,24/7,0.0813,51.53,17.65,2.36,162.0,0.4294,6.59,Unknown,10384,7.0,8.52,11264,546859.28,72969.6,0.7788018433179724,0.10007199424046076,0.3352272727272727,0.4256,Healthy Stable,36484.8,88.0
EVS00049,5,750,8,15,AC Level 1,Fast Charging,Yes,0.2071054263565891,0.0620155038759689,129,2.3101550387596896,62.13271317829457,150.0,0.625,0,0,9:00-18:00,0.0231,62.13,17.36,3.2,126.0,0.2071,2.31,Unknown,1032,3.0,0.0,5934,288952.65,53298.93,0.5622119815668203,0.2620590352771778,0.0620155038759689,0.1973,Healthy Stable,10659.79,25.8
EVS00050,5,750,9,3,AC Level 2,Fast Charging,Yes,0.1969053435114503,0.1145038167938931,131,2.672824427480916,59.07236641221374,150.0,0.5555555555555556,0,0,24/7,0.023,59.07,16.65,8.01,143.0,0.1969,2.67,Unknown,1965,3.0,0.0,5895,285696.46,137411.14,0.5714285714285715,0.2620590352771778,0.1145038167938931,0.222,Overbuilt,27482.23,26.2
EVS00051,6,300,9,4,AC Level 1,Fast Charging,No,0.1777153846153846,0.1,130,2.0393076923076925,63.97769230769231,50.0,0.6666666666666666,0,0,24/7,0.0582,63.98,17.87,8.28,140.0,0.1777,2.04,Unknown,1690,3.0,0.0,5980,302031.08,139887.8,0.5668202764976958,0.10007199424046076,0.1,0.2467,Low Demand,23314.63,21.67
EVS00052,2,100,3,15,AC Level 2,Fast Charging,No,0.4799177777777778,0.2,45,2.475555555555556,57.59022222222222,50.0,0.6666666666666666,0,0,9:00-18:00,0.164,57.59,15.66,5.23,47.0,0.4799,2.48,Unknown,405,3.0,2.22,630,31720.73,10598.4,0.17511520737327188,0.028077753779697623,0.2,0.1444,Healthy Stable,5299.2,22.5
EVS00053,3,66,4,9,AC Level 2,Destination/AC,No,0.3447486486486487,0.1081081081081081,74,2.409189189189189,62.054054054054056,22.0,0.75,0,0,9:00-18:00,0.2537,62.05,16.21,8.15,75.0,0.3447,2.41,Unknown,592,3.0,1.35,2220,88778.39,44652.34,0.3087557603686636,0.015838732901367888,0.1081081081081081,0.1636,Healthy Stable,14884.11,24.67
EVS00054,3,150,4,10,DC Fast Charger,Fast Charging,Yes,0.2744534090909091,0.125,88,3.062840909090909,49.40113636363637,50.0,0.75,0,0,24/7,0.1694,49.4,18.3,6.96,92.0,0.2745,3.06,Unknown,968,3.0,0.0,3168,141728.22,53878.0,0.3732718894009217,0.04607631389488841,0.125,0.1901,Healthy Stable,17959.33,29.33
EVS00055,3,450,5,13,AC Level 1,Fast Charging,Yes,0.3438336734693877,0.1428571428571428,98,2.9185714285714286,61.889489795918365,150.0,0.6,0,0,24/7,0.038,61.89,17.1,2.29,97.0,0.3438,2.92,Unknown,1372,3.0,1.02,3626,164230.26,21955.92,0.4193548387096774,0.1540676745860331,0.1428571428571428,0.1941,Healthy Stable,7318.64,32.67
EVS00056,3,450,4,13,AC Level 2,Fast Charging,Yes,0.3329959999999999,0.0,25,0.9712,59.9408,150.0,0.75,0,0,6:00-22:00,0.039,59.94,16.75,3.12,22.0,0.333,0.97,Unknown,0,1.0,0.0,275,10471.1,1953.0,0.08294930875576037,0.1540676745860331,0.0,0.0024,Healthy Stable,651.0,8.33
EVS00057,4,200,8,8,DC Fast Charger,Fast Charging,No,0.2229525547445255,0.072992700729927,137,2.4997080291970804,53.50861313868614,50.0,0.5,0,0,9:00-18:00,0.1068,53.51,16.34,7.05,105.0,0.223,2.5,Unknown,1370,3.0,0.0,6850,306657.1,132236.51,0.599078341013825,0.06407487401007919,0.072992700729927,0.256,Healthy Stable,33059.13,34.25
EVS00058,2,300,4,14,AC Level 1,Fast Charging,Yes,0.51318,0.125,40,2.28425,61.58200000000001,150.0,0.5,1,0,9:00-18:00,0.0533,61.58,16.0,6.75,40.0,0.5132,2.28,Unknown,200,2.0,2.5,600,25602.2,10792.8,0.15207373271889402,0.10007199424046076,0.125,0.0908,Healthy Stable,5396.4,20.0
EVS00059,6,2100,9,4,DC Fast Charger,Ultra-Fast Charging,No,0.1447223880597015,0.1044776119402985,134,2.2726865671641794,52.09820895522388,350.0,0.6666666666666666,0,0,24/7,0.0112,52.1,17.11,3.15,137.0,0.1447,2.27,Unknown,1876,3.0,0.0,6700,307208.13,56561.4,0.5852534562211982,0.748020158387329,0.1044776119402985,0.1263,Overbuilt,9426.9,22.33
EVS00060,2,44,4,16,AC Level 2,Destination/AC,Yes,0.524794495412844,0.2018348623853211,110,4.432293577981652,62.49245454545455,22.0,0.5,1,0,9:00-18:00,0.3962,62.49,17.53,5.38,127.0,0.5248,4.51,Unknown,2420,3.0,6.36,3924,210173.58,64448.43,0.4746543778801844,0.007919366450683946,0.2018348623853211,0.269,Healthy Stable,32224.22,55.0
EVS00061,3,66,4,6,DC Fast Charger,Destination/AC,No,0.3500387283236994,0.2716763005780346,173,5.685317919075144,63.00699421965317,22.0,0.75,0,0,9:00-18:00,0.2596,63.01,17.29,5.84,167.0,0.35,5.69,Unknown,8131,4.0,7.51,9515,517382.1,174717.89,0.7649769585253456,0.015838732901367888,0.2716763005780346,0.4115,Healthy Stable,58239.3,57.67
EVS00062,6,300,8,3,DC Fast Charger,Fast Charging,Yes,0.1427320610687023,0.1068702290076335,132,2.285916030534351,50.99348484848485,50.0,0.75,0,0,6:00-22:00,0.0783,50.99,17.39,4.08,137.0,0.1427,2.27,Unknown,1848,3.0,0.0,6157,300718.62,70547.43,0.5760368663594471,0.10007199424046076,0.1068702290076335,0.2531,Low Demand,11757.9,22.0
EVS00063,7,2450,9,8,DC Fast Charger,Ultra-Fast Charging,No,0.1185365853658536,0.0365853658536585,82,1.1728048780487803,49.78585365853659,350.0,0.7777777777777778,0,0,9:00-18:00,0.0088,49.79,15.67,4.49,75.0,0.1185,1.17,Unknown,246,3.0,0.0,2214,105340.32,30177.64,0.34562211981566815,0.8740100791936645,0.0365853658536585,-0.0219,Overbuilt,4311.09,11.71
EVS00064,3,66,4,8,AC Level 2,Destination/AC,Yes,0.3442930232558139,0.2441860465116279,174,5.420261627906976,61.259540229885054,22.0,0.75,0,0,24/7,0.2677,61.26,17.48,6.42,174.0,0.3443,5.44,Unknown,7308,5.0,8.62,11352,523125.62,192153.24,0.7695852534562212,0.015838732901367888,0.2441860465116279,0.4023,Healthy Stable,64051.08,58.0
EVS00065,5,1750,7,7,DC Fast Charger,Ultra-Fast Charging,No,0.1749021276595744,0.0851063829787234,94,1.607553191489362,52.47021276595744,350.0,0.7142857142857143,0,0,24/7,0.0137,52.47,17.11,4.72,82.0,0.1749,1.61,Unknown,752,2.0,0.0,2820,151154.44,41699.34,0.40092165898617516,0.6220302375809935,0.0851063829787234,0.07,Overbuilt,8339.87,18.8
EVS00066,2,700,3,13,DC Fast Charger,Ultra-Fast Charging,Yes,0.4264886363636364,0.1477272727272727,88,3.250454545454545,51.17886363636364,350.0,0.6666666666666666,0,0,24/7,0.0353,51.18,18.02,5.84,68.0,0.4265,3.25,Unknown,1144,2.0,1.14,2288,139513.62,45230.24,0.3732718894009217,0.244060475161987,0.1477272727272727,0.1596,Healthy Stable,22615.12,44.0
EVS00067,1,150,3,6,AC Level 2,Fast Charging,Yes,0.8840201149425287,0.8448275862068966,175,8.670833333333333,60.986,150.0,0.3333333333333333,1,1,24/7,0.1179,60.99,17.22,7.91,164.0,0.884,8.64,Unknown,25725,6.0,16.0,10440,524442.44,240765.54,0.7741935483870968,0.04607631389488841,0.8448275862068966,0.6384,Critical Congestion,240765.54,175.0
EVS00068,1,350,3,11,DC Fast Charger,Ultra-Fast Charging,No,0.7810563829787234,0.6382978723404256,95,7.170851063829787,50.78736842105263,350.0,0.3333333333333333,1,1,24/7,0.0736,50.79,18.45,6.79,76.0,0.7811,7.11,Unknown,5700,4.0,13.68,2444,164771.47,60652.56,0.4055299539170507,0.11807055435565153,0.6382978723404256,0.3939,Critical Congestion,60652.56,95.0
EVS00069,6,300,8,10,DC Fast Charger,Fast Charging,Yes,0.1519541666666666,0.125,24,0.4970833333333333,54.70375000000001,50.0,0.75,0,0,6:00-22:00,0.0717,54.7,16.88,2.44,27.0,0.152,0.5,Unknown,72,2.0,0.0,240,9721.66,1403.52,0.07834101382488479,0.10007199424046076,0.125,0.0613,Low Demand,233.92,4.0
