Station_ID,Number_of_Chargers,Max_Station_Power_kW,Parking_Spots,Station_Age_Years,Charger_Type,Station_Type,Renewable_Energy_Source,Avg_Utilization,Congestion_Freq,Total_Sessions,Avg_Wait_Time,Avg_Session_Duration,Power_per_Charger,Charger_to_Parking_Ratio,Target_High_Util,Target_High_Congestion
EVS00035,2,100,2,11,AC Level 2,Fast Charging,Yes,0.5362153374233128,0.3987730061349693,165,6.871411042944785,63.5660606060606,50.0,1.0,1,1
EVS00036,3,66,4,14,AC Level 2,Destination/AC,Yes,0.3385875,0.08333333333333333,24,0.775,60.94625,22.0,0.75,0,0
EVS00037,1,350,1,10,AC Level 1,Ultra-Fast Charging,No,0.8890082191780821,0.8287671232876712,146,7.998972602739725,61.51883561643836,350.0,1.0,1,1
EVS00038,2,44,4,8,AC Level 1,Destination/AC,Yes,0.4920058823529412,0.3790849673202614,154,6.873529411764706,58.65785714285714,22.0,0.5,0,1
EVS00039,1,350,3,3,DC Fast Charger,Ultra-Fast Charging,Yes,0.7726463768115942,0.5942028985507246,70,5.382753623188405,51.55685714285714,350.0,0.3333333333333333,1,1
EVS00040,1,50,1,14,AC Level 2,Fast Charging,No,0.8892435897435897,0.8205128205128205,118,8.555085470085471,62.4185593220339,50.0,1.0,1,1
EVS00041,2,700,3,12,AC Level 1,Ultra-Fast Charging,No,0.5143295454545455,0.06818181818181818,44,2.395909090909091,61.72022727272727,350.0,0.6666666666666666,1,0
EVS00042,2,100,3,3,DC Fast Charger,Fast Charging,No,0.4545266233766234,0.35714285714285715,155,6.146266233766234,54.38309677419355,50.0,0.6666666666666666,0,1
EVS00043,5,250,8,14,AC Level 1,Fast Charging,Yes,0.2096765625,0.1171875,128,2.331875,62.903828125,50.0,0.625,0,0
EVS00044,2,100,3,7,AC Level 1,Fast Charging,No,0.49561486486486483,0.22972972972972974,74,3.400810810810811,59.51702702702703,50.0,0.6666666666666666,0,0
EVS00045,2,44,3,8,AC Level 2,Destination/AC,Yes,0.5416777777777777,0.0,27,1.1737037037037037,65.00259259259259,22.0,0.6666666666666666,1,0
EVS00046,2,100,3,6,DC Fast Charger,Fast Charging,No,0.4427948571428571,0.38857142857142857,175,7.446114285714286,53.13508571428571,50.0,0.6666666666666666,0,1
EVS00047,8,400,9,5,AC Level 1,Fast Charging,Yes,0.12959545454545454,0.06818181818181818,88,1.1099999999999999,62.20613636363637,50.0,0.8888888888888888,0,0
EVS00048,2,300,4,4,DC Fast Charger,Fast Charging,No,0.42944261363636366,0.3352272727272727,176,6.5925,51.53357954545454,150.0,0.5,0,1
EVS00049,5,750,8,15,AC Level 1,Fast Charging,Yes,0.20710542635658916,0.06201550387596899,129,2.3101550387596896,62.13271317829457,150.0,0.625,0,0
EVS00050,5,750,9,3,AC Level 2,Fast Charging,Yes,0.19690534351145036,0.11450381679389313,131,2.672824427480916,59.07236641221374,150.0,0.5555555555555556,0,0
EVS00051,6,300,9,4,AC Level 1,Fast Charging,No,0.17771538461538464,0.1,130,2.0393076923076925,63.97769230769231,50.0,0.6666666666666666,0,0
EVS00052,2,100,3,15,AC Level 2,Fast Charging,No,0.4799177777777778,0.2,45,2.4755555555555557,57.59022222222222,50.0,0.6666666666666666,0,0
EVS00053,3,66,4,9,AC Level 2,Destination/AC,No,0.3447486486486487,0.10810810810810811,74,2.4091891891891892,62.054054054054056,22.0,0.75,0,0
EVS00054,3,150,4,10,DC Fast Charger,Fast Charging,Yes,0.2744534090909091,0.125,88,3.0628409090909092,49.40113636363637,50.0,0.75,0,0
EVS00055,3,450,5,13,AC Level 1,Fast Charging,Yes,0.34383367346938776,0.14285714285714285,98,2.9185714285714286,61.889489795918365,150.0,0.6,0,0
EVS00056,3,450,4,13,AC Level 2,Fast Charging,Yes,0.33299599999999996,0.0,25,0.9712000000000001,59.940799999999996,150.0,0.75,0,0
EVS00057,4,200,8,8,DC Fast Charger,Fast Charging,No,0.22295255474452555,0.072992700729927,137,2.4997080291970804,53.50861313868614,50.0,0.5,0,0
EVS00058,2,300,4,14,AC Level 1,Fast Charging,Yes,0.51318,0.125,40,2.28425,61.58200000000001,150.0,0.5,1,0
EVS00059,6,2100,9,4,DC Fast Charger,Ultra-Fast Charging,No,0.1447223880597015,0.1044776119402985,134,2.2726865671641794,52.09820895522388,350.0,0.6666666666666666,0,0
EVS00060,2,44,4,16,AC Level 2,Destination/AC,Yes,0.524794495412844,0.2018348623853211,110,4.4322935779816515,62.49245454545455,22.0,0.5,1,0
EVS00061,3,66,4,6,DC Fast Charger,Destination/AC,No,0.3500387283236994,0.27167630057803466,173,5.685317919075144,63.00699421965317,22.0,0.75,0,0
EVS00062,6,300,8,3,DC Fast Charger,Fast Charging,Yes,0.1427320610687023,0.10687022900763359,132,2.285916030534351,50.993484848484854,50.0,0.75,0,0
EVS00063,7,2450,9,8,DC Fast Charger,Ultra-Fast Charging,No,0.11853658536585367,0.036585365853658534,82,1.1728048780487805,49.78585365853659,350.0,0.7777777777777778,0,0
EVS00064,3,66,4,8,AC Level 2,Destination/AC,Yes,0.34429302325581396,0.2441860465116279,174,5.420261627906976,61.259540229885054,22.0,0.75,0,0
EVS00065,5,1750,7,7,DC Fast Charger,Ultra-Fast Charging,No,0.17490212765957447,0.0851063829787234,94,1.607553191489362,52.47021276595744,350.0,0.7142857142857143,0,0
EVS00066,2,700,3,13,DC Fast Charger,Ultra-Fast Charging,Yes,0.4264886363636364,0.14772727272727273,88,3.2504545454545455,51.17886363636364,350.0,0.6666666666666666,0,0
EVS00067,1,150,3,6,AC Level 2,Fast Charging,Yes,0.8840201149425287,0.8448275862068966,175,8.670833333333333,60.986,150.0,0.3333333333333333,1,1
EVS00068,1,350,3,11,DC Fast Charger,Ultra-Fast Charging,No,0.7810563829787234,0.6382978723404256,95,7.170851063829787,50.78736842105263,350.0,0.3333333333333333,1,1
EVS00069,6,300,8,10,DC Fast Charger,Fast Charging,Yes,0.15195416666666667,0.125,24,0.4970833333333333,54.70375000000001,50.0,0.75,0,0
EVS00070,8,1200,10,6,DC Fast Charger,Fast Charging,No,0.10884505494505493,0.06593406593406594,92,1.187087912087912,51.67619565217392,150.0,0.8,0,0
EVS00071,1,50,3,9,AC Level 2,Fast Charging,Yes,0.8641173611111111,0.7847222222222222,146,9.137986111111111,59.287465753424655,50.0,0.3333333333333333,1,1
EVS00072,4,88,6,6,AC Level 1,Destination/AC,Yes,0.2554565217391304,0.10869565217391304,46,1.163478260869565,61.31,22.0,0.6666666666666666,0,0
EVS00073,2,44,2,10,AC Level 2,Destination/AC,No,0.49394680851063827,0.19148936170212766,94,4.140851063829787,59.27351063829787,22.0,1.0,0,0
EVS00074,8,2800,10,8,AC Level 1,Ultra-Fast Charging,No,0.12515384615384617,0.05128205128205128,39,0.5656410256410256,60.0725641025641,350.0,0.8,0,0
EVS00075,1,22,1,9,DC Fast Charger,Destination/AC,Yes,0.8665633093525179,0.7769784172661871,139,8.104028776978417,59.04158273381295,22.0,1.0,1,1
EVS00076,6,300,8,4,AC Level 2,Fast Charging,Yes,0.1648822222222222,0.07777777777777778,90,1.7453333333333334,59.35655555555556,50.0,0.75,0,0
EVS00077,7,154,10,3,DC Fast Charger,Destination/AC,Yes,0.14812777777777777,0.09722222222222222,73,0.9400694444444445,61.359315068493146,22.0,0.7,0,0
EVS00078,4,1400,5,9,AC Level 2,Ultra-Fast Charging,Yes,0.24016607142857144,0.07142857142857142,56,1.3485714285714285,57.64071428571429,350.0,0.8,0,0
EVS00079,1,350,2,4,DC Fast Charger,Ultra-Fast Charging,Yes,0.779279381443299,0.7216494845360825,98,8.970309278350516,50.81948979591837,350.0,0.5,1,1
EVS00080,3,450,4,5,AC Level 2,Fast Charging,Yes,0.33766875,0.15178571428571427,112,3.6649107142857145,60.78044642857143,150.0,0.75,0,0
EVS00081,5,1750,10,3,AC Level 2,Ultra-Fast Charging,No,0.20918241758241757,0.12637362637362637,184,3.0234340659340657,62.07304347826087,350.0,0.5,0,0
EVS00082,3,150,4,3,DC Fast Charger,Fast Charging,Yes,0.2824434210526316,0.10526315789473684,76,2.4232894736842105,50.84,50.0,0.75,0,0
EVS00083,4,1400,8,12,AC Level 2,Ultra-Fast Charging,Yes,0.2610272727272727,0.12121212121212122,33,1.1163636363636362,62.64696969696969,350.0,0.5,0,0
EVS00084,1,150,1,16,AC Level 2,Fast Charging,Yes,0.8709048780487804,0.774390243902439,164,9.247926829268293,59.73115853658536,150.0,1.0,1,1
EVS00085,4,200,9,14,AC Level 2,Fast Charging,Yes,0.2604923076923077,0.08391608391608392,144,2.6884265734265735,62.084097222222226,50.0,0.4444444444444444,0,0
EVS00086,5,250,8,15,AC Level 2,Fast Charging,Yes,0.21409739130434785,0.09565217391304348,116,2.540391304347826,63.67474137931035,50.0,0.625,0,0
EVS00087,6,300,10,7,AC Level 2,Fast Charging,No,0.18044285714285715,0.07142857142857142,28,0.5796428571428571,64.95785714285714,50.0,0.6,0,0
EVS00088,3,1050,6,4,DC Fast Charger,Ultra-Fast Charging,No,0.28832608695652173,0.057971014492753624,69,1.6957971014492752,51.89855072463768,350.0,0.5,0,0
EVS00089,4,200,6,8,AC Level 1,Fast Charging,No,0.24694370370370372,0.17777777777777778,136,3.4350370370370373,58.830882352941174,50.0,0.6666666666666666,0,0
EVS00090,2,300,3,10,AC Level 2,Fast Charging,Yes,0.5248464788732394,0.352112676056338,142,6.453802816901409,62.98197183098592,150.0,0.6666666666666666,1,1
EVS00091,8,1200,10,11,AC Level 1,Fast Charging,Yes,0.13170526315789474,0.06315789473684211,95,1.374,63.22010526315789,150.0,0.8,0,0
EVS00092,2,700,3,8,AC Level 1,Ultra-Fast Charging,Yes,0.49273846153846157,0.38461538461538464,143,6.9134965034965035,59.12881118881119,350.0,0.6666666666666666,0,1
EVS00093,6,2100,8,4,AC Level 1,Ultra-Fast Charging,Yes,0.1607186046511628,0.11627906976744186,129,2.887829457364341,57.85852713178294,350.0,0.75,0,0
EVS00094,3,150,7,8,AC Level 2,Fast Charging,Yes,0.3330638888888889,0.125,72,2.5844444444444448,59.951388888888886,50.0,0.42857142857142855,0,0
EVS00095,2,44,3,5,AC Level 1,Destination/AC,No,0.49741694915254236,0.4011299435028249,177,8.408813559322033,59.69022598870057,22.0,0.6666666666666666,0,1
EVS00096,2,100,2,12,AC Level 1,Fast Charging,Yes,0.5196901234567901,0.1728395061728395,81,2.5791358024691355,62.36283950617285,50.0,1.0,1,0
EVS00097,2,44,5,6,AC Level 2,Destination/AC,Yes,0.5065490196078432,0.11764705882352941,51,2.828823529411765,60.78607843137255,22.0,0.4,0,0
EVS00098,3,1050,5,3,DC Fast Charger,Ultra-Fast Charging,No,0.2895909090909091,0.17355371900826447,122,3.864793388429752,51.69934426229508,350.0,0.6,0,0
EVS00099,7,2450,8,11,AC Level 2,Ultra-Fast Charging,Yes,0.14916140350877194,0.06140350877192982,115,1.8973245614035088,62.10269565217391,350.0,0.875,0,0
EVS00100,8,1200,10,8,AC Level 2,Fast Charging,No,0.12524871794871797,0.0,39,0.4330769230769231,60.1174358974359,150.0,0.8,0,0
EVS00101,1,50,1,13,DC Fast Charger,Fast Charging,Yes,0.8465090277777778,0.8402777777777778,144,8.448541666666666,55.928333333333335,50.0,1.0,1,1
EVS00102,3,66,4,3,DC Fast Charger,Destination/AC,No,0.3478592592592593,0.07407407407407407,54,1.651111111111111,62.61351851851852,22.0,0.75,0,0
EVS00103,4,88,7,16,AC Level 1,Destination/AC,No,0.25141383647798743,0.16352201257861634,159,3.328364779874214,60.33893081761006,22.0,0.5714285714285714,0,0
EVS00104,4,88,5,6,AC Level 2,Destination/AC,No,0.27603684210526314,0.0,19,0.661578947368421,66.24789473684211,22.0,0.8,0,0
EVS00105,5,750,10,8,AC Level 2,Fast Charging,No,0.20271085714285716,0.14857142857142858,176,2.804885714285714,60.46784090909091,150.0,0.5,0,0
EVS00106,1,350,1,14,AC Level 2,Ultra-Fast Charging,No,0.8766534351145038,0.8549618320610687,132,9.280954198473284,60.257045454545455,350.0,1.0,1,1
EVS00107,5,110,7,15,DC Fast Charger,Destination/AC,No,0.20853648648648648,0.11486486486486487,150,2.636081081081081,61.726333333333336,22.0,0.7142857142857143,0,0
EVS00108,4,1400,7,6,AC Level 2,Ultra-Fast Charging,Yes,0.24619705882352938,0.18382352941176472,136,3.6116911764705883,59.08757352941176,350.0,0.5714285714285714,0,0
EVS00109,5,250,7,8,DC Fast Charger,Fast Charging,No,0.17707835051546392,0.041237113402061855,97,1.6682474226804123,53.1239175257732,50.0,0.7142857142857143,0,0
EVS00110,5,1750,9,8,AC Level 1,Ultra-Fast Charging,Yes,0.2170299363057325,0.12101910828025478,157,2.5445859872611467,65.10821656050955,350.0,0.5555555555555556,0,0
EVS00111,6,2100,7,16,DC Fast Charger,Ultra-Fast Charging,Yes,0.13637241379310344,0.10344827586206896,58,0.9984482758620691,49.09344827586207,350.0,0.8571428571428571,0,0
EVS00112,2,100,2,9,AC Level 1,Fast Charging,Yes,0.5141887218045114,0.3082706766917293,134,5.85703007518797,61.242313432835815,50.0,1.0,1,1
EVS00113,6,900,10,12,AC Level 2,Fast Charging,Yes,0.1718190082644628,0.09917355371900827,122,1.4724380165289255,61.348688524590166,150.0,0.6,0,0
EVS00114,7,350,9,4,AC Level 2,Fast Charging,Yes,0.14452073170731708,0.036585365853658534,82,1.4029268292682928,60.69963414634146,50.0,0.7777777777777778,0,0
EVS00115,2,100,4,8,AC Level 2,Fast Charging,No,0.49577614678899085,0.26605504587155965,109,4.789266055045871,59.57449541284404,50.0,0.5,0,0
EVS00116,1,50,1,9,AC Level 2,Fast Charging,Yes,0.8984029411764706,0.8137254901960784,102,7.49,61.317549019607846,50.0,1.0,1,1
EVS00117,4,88,7,16,AC Level 2,Destination/AC,No,0.2557869565217391,0.043478260869565216,23,0.6165217391304347,61.38739130434782,22.0,0.5714285714285714,0,0
EVS00118,6,132,8,11,DC Fast Charger,Destination/AC,No,0.18662,0.1,30,0.6273333333333333,67.185,22.0,0.75,0,0
EVS00119,5,250,6,9,AC Level 2,Fast Charging,Yes,0.2052735849056604,0.03773584905660377,53,1.2130188679245284,61.58132075471698,50.0,0.8333333333333334,0,0
EVS00120,7,1050,9,3,AC Level 2,Fast Charging,No,0.14048148148148148,0.07407407407407407,27,0.8566666666666666,58.99925925925926,150.0,0.7777777777777778,0,0
EVS00121,2,300,3,9,DC Fast Charger,Fast Charging,Yes,0.4548916666666667,0.20833333333333334,96,4.012395833333334,54.587812500000005,150.0,0.6666666666666666,0,0
EVS00122,2,100,2,5,AC Level 2,Fast Charging,Yes,0.5219401785714286,0.33035714285714285,112,5.8965178571428565,62.69678571428572,50.0,1.0,1,1
EVS00123,4,200,7,5,AC Level 2,Fast Charging,Yes,0.2623948717948718,0.10256410256410256,117,2.364700854700855,62.97521367521368,50.0,0.5714285714285714,0,0
EVS00124,5,250,6,7,AC Level 2,Fast Charging,Yes,0.2059111111111111,0.12222222222222222,90,1.841888888888889,61.77277777777778,50.0,0.8333333333333334,0,0
EVS00125,1,50,1,4,DC Fast Charger,Fast Charging,No,0.8126841176470587,0.7764705882352941,171,8.834323529411765,53.242046783625725,50.0,1.0,1,1
EVS00126,6,900,10,5,AC Level 1,Fast Charging,Yes,0.1675699115044248,0.07079646017699115,113,1.9287610619469024,60.32619469026548,150.0,0.6,0,0
EVS00127,5,110,8,14,DC Fast Charger,Destination/AC,No,0.20554615384615385,0.038461538461538464,26,0.551923076923077,61.66269230769231,22.0,0.625,0,0
EVS00128,4,200,6,13,AC Level 2,Fast Charging,No,0.25208275862068963,0.1724137931034483,147,3.310758620689655,59.676054421768704,50.0,0.6666666666666666,0,0
EVS00129,2,44,4,5,AC Level 1,Destination/AC,Yes,0.4982725806451613,0.3225806451612903,124,5.538387096774193,59.792338709677416,22.0,0.5,0,1
EVS00130,2,300,4,13,DC Fast Charger,Fast Charging,Yes,0.4415169014084507,0.28169014084507044,142,6.432605633802817,52.98225352112676,150.0,0.5,0,0
EVS00131,1,50,1,14,AC Level 1,Fast Charging,Yes,0.8768152380952381,0.8,105,7.583428571428572,60.10171428571429,50.0,1.0,1,1
EVS00132,1,150,1,10,AC Level 1,Fast Charging,No,0.88771,0.8454545454545455,111,8.106045454545454,59.90387387387387,150.0,1.0,1,1
EVS00133,3,66,4,12,DC Fast Charger,Destination/AC,Yes,0.30748,0.06666666666666667,30,1.0873333333333333,55.34733333333334,22.0,0.75,0,0
EVS00134,6,300,8,9,AC Level 1,Fast Charging,No,0.1851532110091743,0.045871559633027525,110,1.7168348623853211,66.049,50.0,0.75,0,0
EVS00135,7,2450,10,9,DC Fast Charger,Ultra-Fast Charging,No,0.12412337662337661,0.09740259740259741,154,2.206298701298701,52.13136363636364,350.0,0.7,0,0
EVS00136,2,700,4,16,AC Level 1,Ultra-Fast Charging,No,0.5248565217391304,0.14492753623188406,69,3.276521739130435,62.982898550724634,350.0,0.5,1,0
EVS00137,3,1050,4,6,AC Level 1,Ultra-Fast Charging,Yes,0.3526026785714286,0.21428571428571427,116,4.022455357142857,61.28051724137931,350.0,0.75,0,0
EVS00138,1,22,2,7,DC Fast Charger,Destination/AC,Yes,0.8639499999999999,0.6923076923076923,26,1.7269230769230768,58.00423076923077,22.0,0.5,1,1
EVS00139,2,44,3,10,AC Level 1,Destination/AC,Yes,0.5325,0.18181818181818182,55,3.364181818181818,63.9,22.0,0.6666666666666666,1,0
EVS00140,2,700,4,15,AC Level 2,Ultra-Fast Charging,Yes,0.5391768421052632,0.12631578947368421,95,3.4269473684210525,64.70178947368422,350.0,0.5,1,0
EVS00141,4,88,6,16,AC Level 1,Destination/AC,No,0.25506415094339624,0.1650943396226415,212,4.02061320754717,61.215094339622645,22.0,0.6666666666666666,0,0
EVS00142,8,1200,10,4,AC Level 1,Fast Charging,No,0.12802884615384616,0.038461538461538464,52,0.7223076923076923,61.45653846153846,150.0,0.8,0,0
EVS00143,5,250,8,3,AC Level 2,Fast Charging,No,0.21988275862068965,0.05172413793103448,58,1.5037931034482759,65.96603448275863,50.0,0.625,0,0
EVS00144,3,450,4,9,DC Fast Charger,Fast Charging,Yes,0.2888737373737374,0.050505050505050504,99,2.327878787878788,51.99717171717172,150.0,0.75,0,0
EVS00145,5,1750,9,14,AC Level 1,Ultra-Fast Charging,Yes,0.21274973821989526,0.13612565445026178,192,3.1989528795811517,63.49286458333333,350.0,0.5555555555555556,0,0
EVS00146,2,100,3,16,DC Fast Charger,Fast Charging,Yes,0.43442684563758394,0.31543624161073824,149,6.744429530201342,52.131140939597316,50.0,0.6666666666666666,0,1
EVS00147,7,2450,9,15,AC Level 1,Ultra-Fast Charging,Yes,0.14469545454545454,0.22727272727272727,22,0.3227272727272727,60.76863636363637,350.0,0.7777777777777778,0,0
EVS00148,5,750,6,15,AC Level 1,Fast Charging,No,0.19835070422535211,0.15492957746478872,71,1.3411267605633803,59.50492957746479,150.0,0.8333333333333334,0,0
EVS00149,6,300,9,8,AC Level 2,Fast Charging,Yes,0.17515394736842105,0.09868421052631579,155,2.4658223684210525,61.83509677419355,50.0,0.6666666666666666,0,0
EVS00150,1,22,1,9,AC Level 2,Destination/AC,No,0.8693941176470589,0.8235294117647058,17,2.8717647058823528,60.27117647058823,22.0,1.0,1,1
EVS00151,6,300,7,13,AC Level 2,Fast Charging,Yes,0.17445743243243245,0.11486486486486487,149,2.461587837837838,62.38463087248322,50.0,0.8571428571428571,0,0
EVS00152,2,44,3,9,AC Level 2,Destination/AC,No,0.5052725806451612,0.20967741935483872,62,3.915967741935484,60.752096774193554,22.0,0.6666666666666666,0,0
EVS00153,1,150,1,11,AC Level 2,Fast Charging,No,0.8881524752475247,0.8564356435643564,203,8.825544554455446,60.37137931034483,150.0,1.0,1,1
EVS00154,4,600,5,7,AC Level 2,Fast Charging,Yes,0.258486301369863,0.0410958904109589,73,1.6382191780821918,62.03643835616438,150.0,0.8,0,0
EVS00155,3,150,4,7,AC Level 2,Fast Charging,Yes,0.33361,0.15,80,3.11825,60.048500000000004,50.0,0.75,0,0
EVS00156,8,2800,10,6,AC Level 2,Ultra-Fast Charging,No,0.12598027210884352,0.04081632653061224,148,1.3228911564625851,60.0629054054054,350.0,0.8,0,0
EVS00157,5,110,9,4,AC Level 2,Destination/AC,Yes,0.21384594594594594,0.02702702702702703,37,1.058918918918919,64.15270270270271,22.0,0.5555555555555556,0,0
EVS00158,3,450,4,15,DC Fast Charger,Fast Charging,Yes,0.30247934782608693,0.18478260869565216,93,3.5818478260869564,53.86021505376344,150.0,0.75,0,0
EVS00159,3,150,6,5,AC Level 2,Fast Charging,No,0.3311513513513514,0.11711711711711711,111,3.046306306306306,59.60702702702703,50.0,0.5,0,0
EVS00160,2,700,3,16,DC Fast Charger,Ultra-Fast Charging,No,0.42223481012658226,0.37341772151898733,158,6.732278481012658,50.66829113924051,350.0,0.6666666666666666,0,1
EVS00161,2,44,3,10,AC Level 2,Destination/AC,No,0.5224806282722513,0.36649214659685864,192,6.706701570680629,62.501354166666665,22.0,0.6666666666666666,1,1
EVS00162,2,300,3,8,DC Fast Charger,Fast Charging,Yes,0.4499338842975207,0.30578512396694213,121,5.275702479338843,53.99190082644628,150.0,0.6666666666666666,0,1
EVS00163,1,350,1,5,DC Fast Charger,Ultra-Fast Charging,No,0.7611602564102564,0.6794871794871795,79,7.092756410256411,49.258607594936706,350.0,1.0,1,1
EVS00164,1,22,2,11,AC Level 1,Destination/AC,Yes,0.8622914285714286,0.8285714285714286,70,6.724428571428571,58.96842857142857,22.0,0.5,1,1
EVS00165,6,300,9,4,AC Level 1,Fast Charging,Yes,0.16152692307692307,0.07692307692307693,78,1.3191025641025642,58.15038461538461,50.0,0.6666666666666666,0,0
