Station_ID,Date,Hour,Traffic_Volume,Average_Speed_kmh,Congestion_Level
EVS03402,2024-08-20,12,300,46.2,Low
EVS04600,2024-11-15,4,437,31.4,Moderate
EVS01475,2024-10-02,1,532,31.4,Moderate
EVS01598,2024-06-15,14,223,44.4,Low
EVS04272,2025-01-21,0,409,37.5,Moderate
EVS04468,2024-03-18,21,564,31.3,High
EVS04570,2025-06-03,5,310,38.2,Moderate
EVS01442,2024-03-12,5,409,35.7,Moderate
EVS00600,2025-12-13,23,294,44.0,Low
EVS02181,2025-11-30,14,275,41.6,Moderate
EVS01457,2025-01-01,19,765,28.6,Severe
EVS04422,2025-05-09,19,1078,12.1,Severe
EVS00179,2025-08-14,17,781,25.9,Severe
EVS03159,2025-10-18,22,247,37.2,Low
EVS04531,2025-03-01,19,789,24.5,Severe
EVS04891,2024-06-04,15,523,40.8,Moderate
EVS03236,2024-02-22,10,789,31.5,Severe
EVS04757,2025-05-20,13,436,31.9,Moderate
EVS00378,2025-05-22,1,382,37.4,Moderate
EVS01784,2025-12-08,19,676,28.9,High
EVS00042,2025-05-18,3,281,47.5,Moderate
EVS04912,2024-06-21,9,875,13.4,Severe
EVS04515,2025-06-28,4,218,40.4,Low
EVS00135,2024-12-11,10,787,26.9,Severe
EVS00088,2024-04-18,11,426,39.0,Moderate
EVS01826,2025-04-25,20,784,21.7,Severe
EVS01275,2025-11-10,23,272,49.5,Low
EVS04231,2024-07-02,6,618,36.1,Moderate
EVS00792,2025-09-18,4,378,37.8,Moderate
EVS03938,2025-12-12,21,644,30.4,Moderate
EVS02768,2024-06-11,11,481,33.3,Moderate
EVS01879,2024-01-20,3,252,40.1,Moderate
EVS00721,2024-09-30,4,377,38.6,Moderate
EVS04991,2024-02-15,10,556,30.9,Moderate
EVS03080,2024-01-04,12,329,36.1,Moderate
EVS02179,2024-01-03,18,893,18.9,Severe
EVS01846,2024-04-03,5,393,37.8,Moderate
EVS04528,2024-10-30,23,356,36.9,Moderate
EVS04095,2025-09-30,8,817,25.5,Severe
EVS04047,2024-09-14,8,514,29.1,Moderate
EVS03071,2025-07-14,11,402,41.1,Moderate
EVS04439,2025-04-02,13,318,43.6,Moderate
EVS01476,2024-05-26,15,375,36.3,Moderate
EVS03504,2025-05-19,22,364,37.1,Moderate
EVS02019,2024-12-23,16,611,27.1,High
EVS02989,2024-09-28,7,446,44.0,Moderate
EVS04993,2025-12-02,3,267,43.9,Low
EVS04930,2025-08-24,22,228,43.2,Low
EVS02565,2025-09-11,9,607,23.4,Severe
EVS02860,2024-12-23,18,900,24.3,Severe
EVS04486,2025-07-24,6,668,36.7,Severe
EVS04935,2025-03-20,17,754,26.0,Severe
EVS03879,2024-08-09,4,399,30.0,Moderate
EVS00326,2025-04-07,21,504,32.5,Moderate
EVS01602,2024-07-15,14,359,41.6,Moderate
EVS04481,2024-04-28,14,319,45.3,Moderate
EVS03829,2024-06-19,7,749,19.9,Severe
EVS03697,2025-11-02,1,194,49.3,Low
EVS03332,2025-02-28,21,563,32.1,Moderate
EVS02068,2024-07-29,4,225,51.4,Low
EVS02014,2024-05-02,21,646,37.8,Severe
EVS04034,2024-10-27,14,269,45.0,Moderate
EVS01446,2024-01-29,0,400,38.9,Moderate
EVS03412,2024-01-17,9,726,23.5,High
EVS03621,2024-09-16,11,570,33.1,Moderate
EVS04217,2025-04-18,3,479,27.3,Moderate
EVS01587,2024-02-07,23,395,38.1,Moderate
EVS03695,2025-11-20,13,336,33.6,Moderate
EVS00530,2025-05-24,0,245,44.7,Low
EVS00684,2024-05-01,0,351,37.1,Moderate
EVS02079,2025-07-26,17,783,21.2,Severe
EVS00275,2024-04-03,21,586,28.9,High
EVS04746,2025-10-20,10,464,27.8,Moderate
EVS04510,2024-02-12,4,336,36.6,Moderate
EVS00240,2025-02-26,21,550,32.8,Moderate
EVS04186,2024-04-17,7,994,16.0,Severe
EVS02546,2024-06-14,2,465,36.5,High
EVS03494,2024-06-22,20,484,36.1,Moderate
EVS04435,2024-01-13,12,247,40.6,Moderate
EVS02877,2025-05-11,0,290,41.7,Moderate
EVS00585,2024-07-07,12,225,44.7,Low
EVS00013,2025-01-19,14,334,38.8,Moderate
EVS02486,2025-03-03,6,507,33.9,Moderate
EVS04754,2024-10-10,3,284,43.4,Moderate
EVS02855,2025-03-01,2,283,38.4,Low
EVS01857,2024-07-07,7,835,18.1,Severe
EVS00151,2025-07-10,3,525,36.5,Moderate
EVS04575,2024-04-16,18,999,21.8,Severe
EVS01626,2025-05-25,1,174,42.2,Low
EVS03509,2024-09-23,13,430,37.0,High
EVS03456,2024-11-10,22,215,39.4,Moderate
EVS01250,2024-09-16,20,789,22.3,Severe
EVS00320,2024-08-19,12,371,36.8,Moderate
EVS01921,2025-09-11,23,338,45.3,Moderate
EVS01573,2024-10-07,14,586,26.9,Moderate
EVS03485,2024-08-16,2,359,37.7,Moderate
EVS04089,2025-03-03,14,459,38.1,Moderate
EVS01103,2025-10-06,16,685,23.2,Severe
EVS02638,2025-03-11,11,365,29.9,Low
EVS00200,2024-07-02,3,281,40.5,Moderate
EVS01064,2025-09-20,1,277,44.4,Moderate
EVS03791,2025-04-10,7,644,27.4,High
EVS03951,2025-06-25,3,401,33.9,Moderate
EVS03867,2025-05-15,16,754,27.4,Severe
EVS00706,2024-12-31,17,813,22.1,Severe
EVS02750,2024-09-25,7,845,20.3,Severe
EVS02106,2024-08-04,6,344,39.0,Moderate
EVS04965,2024-09-04,15,370,41.6,Moderate
EVS03257,2025-09-30,10,647,28.5,Moderate
EVS04683,2024-02-14,1,263,41.7,Low
EVS00719,2024-09-01,23,313,39.4,Moderate
EVS02240,2025-05-05,20,663,32.5,High
EVS03843,2024-02-23,15,464,28.9,Moderate
EVS01830,2025-06-12,9,742,26.4,Severe
EVS03153,2025-06-19,0,374,51.2,Moderate
EVS02561,2025-09-05,12,394,32.3,Moderate
EVS04967,2025-11-26,4,411,40.1,Moderate
EVS00860,2025-08-09,5,261,42.9,Moderate
EVS04683,2024-04-10,9,655,29.1,High
EVS02005,2025-08-01,18,1073,12.0,Severe
EVS02334,2025-09-27,4,289,45.4,Moderate
EVS02640,2024-09-09,16,631,37.3,High
EVS01307,2024-05-27,2,351,42.0,Low
EVS04828,2025-02-02,2,234,33.7,Low
EVS04557,2024-09-25,3,318,40.3,Low
EVS04872,2024-03-20,1,251,36.7,Moderate
EVS04989,2025-02-13,15,554,36.6,Moderate
EVS03341,2024-08-13,23,425,37.5,Moderate
EVS02244,2024-12-23,23,400,43.8,Moderate
EVS04253,2024-10-13,0,242,48.6,Low
EVS00113,2024-05-01,6,728,25.9,High
EVS04165,2024-03-10,12,264,50.8,Low
EVS02489,2024-11-25,12,331,45.1,Moderate
EVS03358,2025-05-23,9,776,31.9,Severe
EVS01862,2024-01-08,23,375,37.9,Moderate
EVS01833,2024-07-18,2,274,45.0,Low
EVS00154,2024-08-26,21,543,35.8,Moderate
EVS02112,2024-03-11,13,343,40.8,Moderate
EVS02037,2025-06-29,15,363,51.5,Moderate
EVS01116,2024-01-14,19,593,29.4,High
EVS01221,2024-08-09,11,433,38.5,Moderate
EVS02913,2024-11-29,22,575,33.9,High
EVS01576,2024-10-30,7,851,20.5,Severe
EVS04142,2025-06-30,11,353,40.0,Moderate
EVS00558,2025-05-08,16,835,14.3,Severe
EVS02879,2024-01-04,18,974,15.2,Severe
EVS00789,2024-04-02,19,728,27.4,Severe
EVS02638,2024-11-17,14,346,44.3,Moderate
EVS02756,2025-03-02,3,240,43.3,Low
EVS03201,2025-12-13,8,675,33.5,High
EVS02126,2024-05-25,20,552,31.8,Moderate
EVS02548,2025-05-23,17,793,25.3,Severe
EVS00895,2024-08-26,20,877,26.9,Severe
EVS02303,2024-12-12,0,340,41.1,Moderate
EVS01858,2024-11-12,15,704,34.6,Severe
EVS03323,2024-04-14,17,736,26.5,High
EVS02160,2024-01-26,11,402,39.7,Moderate
EVS03883,2025-10-10,18,1197,17.6,Severe
EVS02121,2025-04-22,11,449,29.5,Moderate
EVS01165,2025-07-06,1,230,46.8,Low
EVS01347,2024-06-07,9,795,28.4,Severe
EVS00223,2025-06-12,1,293,41.7,Low
EVS02692,2024-08-29,17,740,23.4,High
EVS04146,2025-03-15,16,594,29.9,Moderate
EVS03832,2024-02-27,3,326,40.4,Moderate
EVS02172,2024-08-26,14,445,41.5,Moderate
EVS00973,2024-05-11,1,295,37.6,Moderate
EVS04316,2024-10-12,20,508,39.7,High
EVS00284,2025-04-22,3,276,40.0,Low
EVS01992,2024-11-05,23,365,40.3,Moderate
EVS04282,2024-08-19,15,516,27.5,Moderate
EVS01965,2024-06-05,6,528,37.3,Moderate
EVS00591,2024-02-10,22,292,39.1,Low
EVS01310,2025-10-12,15,502,36.5,Moderate
EVS02989,2025-04-09,11,512,31.8,Moderate
EVS00750,2024-04-21,11,304,40.4,Moderate
EVS03262,2025-02-15,2,226,44.6,Moderate
EVS02173,2025-07-03,15,478,33.9,Moderate
EVS01665,2025-06-12,4,338,40.1,Moderate
EVS01196,2025-06-02,18,815,23.3,Severe
EVS04108,2025-08-03,3,262,37.8,Moderate
EVS01981,2025-09-08,5,419,33.0,Moderate
EVS03678,2025-09-13,14,350,45.4,Low
EVS02183,2025-01-10,22,408,36.1,Moderate
EVS00461,2024-01-16,17,918,25.1,Severe
EVS02184,2025-12-04,17,933,18.9,Severe
EVS02542,2025-09-05,22,557,38.8,Moderate
EVS02279,2025-10-09,2,517,29.5,Moderate
EVS04074,2025-07-14,6,956,19.2,Severe
EVS04554,2025-07-25,8,1089,12.0,Severe
EVS03920,2024-11-10,13,198,38.2,Low
EVS02905,2025-06-20,8,855,24.4,Severe
EVS02700,2025-07-16,20,838,21.4,Severe
EVS03211,2024-04-22,7,786,27.3,Severe
EVS01419,2024-10-01,15,573,24.9,High
EVS04052,2025-02-16,3,210,41.3,Low
EVS04284,2025-02-14,12,366,31.9,Moderate
EVS01315,2025-07-16,10,479,29.4,Moderate
EVS04515,2024-07-14,16,338,44.7,Moderate
EVS04241,2025-01-25,21,445,36.4,Moderate
EVS02114,2025-09-02,14,439,34.5,Moderate
EVS04544,2024-09-29,8,619,33.8,High
EVS00601,2025-09-03,19,831,13.9,Severe
EVS00135,2025-10-05,13,243,38.5,Low
EVS01726,2024-10-17,6,414,33.4,Moderate
EVS02821,2024-11-27,1,296,43.3,Moderate
EVS01742,2024-11-10,19,613,31.9,High
EVS04718,2025-09-25,18,1128,18.8,Severe
EVS01254,2025-07-19,3,216,43.3,Low
EVS01384,2025-07-26,6,501,31.8,Moderate
EVS03162,2025-04-09,22,452,36.8,Moderate
EVS00019,2024-05-16,16,720,24.6,Severe
EVS03626,2025-08-11,10,711,30.4,High
EVS01879,2025-01-31,8,1022,22.5,Severe
EVS04898,2024-01-11,14,500,36.2,Moderate
EVS03443,2024-03-15,22,295,41.3,Moderate
EVS00261,2024-08-16,10,509,37.8,Moderate
EVS00466,2025-08-09,15,347,35.0,Low
EVS00444,2025-07-27,11,378,34.9,Moderate
EVS04774,2025-08-11,5,427,42.6,Moderate
EVS03408,2024-09-27,8,830,25.9,Severe
EVS02127,2024-09-07,4,269,49.3,Low
EVS00996,2025-12-13,4,229,44.5,Low
EVS04364,2024-10-13,3,248,39.9,Low
EVS01001,2025-03-06,16,964,19.4,Severe
EVS03519,2025-12-04,19,1341,12.0,Severe
EVS03801,2024-05-13,19,821,18.2,Severe
EVS01449,2025-01-12,4,316,41.7,Moderate
EVS02530,2024-04-13,12,272,42.3,Moderate
EVS01105,2025-05-06,19,754,27.7,Severe
EVS01888,2025-10-16,5,561,38.2,High
EVS04835,2024-08-01,9,827,25.9,Severe
EVS03451,2025-07-28,8,844,21.8,Severe
EVS04228,2024-11-04,14,525,33.5,Moderate
EVS02695,2024-01-10,11,508,34.4,Moderate
EVS01184,2024-08-24,15,431,37.5,Moderate
EVS03554,2025-06-11,5,457,34.0,Moderate
EVS02507,2024-06-11,20,813,19.5,Severe
EVS00872,2024-08-18,11,388,31.0,Moderate
EVS02055,2024-01-18,20,604,27.8,High
EVS03162,2024-01-16,14,383,41.8,Moderate
EVS03660,2025-06-25,4,494,33.7,Moderate
EVS01204,2025-01-09,0,292,43.6,Low
EVS04376,2025-02-19,11,418,25.3,Moderate
EVS01893,2024-12-07,1,262,39.3,Low
EVS01334,2025-02-22,0,257,42.3,Low
EVS00967,2025-03-03,0,294,37.8,Moderate
EVS04005,2025-04-18,22,308,35.0,Moderate
EVS01753,2024-05-30,20,991,12.0,Severe
EVS02410,2025-10-10,9,907,16.1,Severe
EVS01104,2025-05-29,16,740,19.6,High
EVS03418,2024-10-12,6,419,43.1,Low
EVS03893,2024-01-16,5,476,39.9,High
EVS01688,2024-05-04,2,215,44.3,Low
EVS04732,2025-06-05,17,852,21.0,Severe
EVS00149,2025-01-24,8,730,21.0,High
EVS00661,2025-04-17,20,537,34.4,High
EVS02937,2024-03-21,10,648,31.5,High
EVS03491,2025-12-03,6,570,34.4,Moderate
EVS01235,2024-01-25,22,351,44.9,Moderate
EVS02766,2025-08-08,11,638,27.2,High
EVS01580,2024-09-08,16,490,33.9,Moderate
EVS02766,2024-10-21,19,680,22.9,High
EVS03282,2024-02-17,22,338,45.4,Moderate
EVS04872,2024-09-19,16,668,27.9,High
EVS02265,2025-04-27,1,295,44.4,Moderate
EVS03227,2025-09-01,20,625,27.9,High
EVS02880,2024-11-24,18,531,33.3,Moderate
EVS01575,2025-06-05,2,289,40.7,Low
EVS01246,2024-12-23,2,508,24.5,Moderate
EVS04944,2024-07-12,22,323,41.0,Moderate
EVS01027,2024-01-18,1,404,39.0,Moderate
EVS03936,2024-11-24,0,273,34.3,Moderate
EVS00725,2025-07-11,13,503,33.6,High
EVS04006,2024-03-14,6,848,14.5,Severe
EVS00921,2024-06-20,23,319,41.4,Moderate
EVS04846,2024-03-09,2,252,38.0,Moderate
EVS03418,2025-11-18,8,1064,12.0,Severe
EVS00452,2025-12-05,17,816,14.7,High
EVS03451,2025-10-25,14,400,39.1,Moderate
EVS03004,2024-11-23,16,556,35.7,Severe
EVS01678,2025-10-28,20,460,32.0,High
EVS01284,2025-02-11,5,441,41.5,Moderate
EVS03582,2025-04-21,3,470,34.4,Moderate
EVS03692,2025-07-12,21,405,35.0,Moderate
EVS01626,2024-02-23,23,336,39.0,Moderate
EVS04378,2024-04-28,12,251,48.3,Moderate
EVS01324,2025-01-24,0,308,36.2,Moderate
EVS00348,2025-10-03,14,321,40.3,Low
EVS02988,2024-06-26,21,438,39.1,Moderate
EVS00535,2024-10-02,23,403,40.2,Moderate
EVS01365,2024-06-14,4,403,39.6,Moderate
EVS02539,2024-04-15,10,641,30.2,High
EVS01412,2025-10-20,22,474,39.6,Moderate
EVS01067,2025-02-26,12,397,35.5,Moderate
EVS03500,2024-11-23,17,494,31.7,Moderate
EVS02729,2024-10-09,11,444,38.4,Moderate
EVS04195,2025-03-19,9,738,29.1,High
EVS02899,2024-11-10,17,844,22.7,Severe
EVS02411,2025-10-15,1,343,39.0,Moderate
EVS01287,2024-06-09,1,211,46.2,Low
EVS03944,2025-10-09,3,491,39.5,Moderate
EVS00979,2025-07-25,15,619,25.7,High
EVS01200,2025-06-22,16,504,35.3,Moderate
EVS04205,2024-10-08,3,440,35.9,Moderate
EVS03691,2025-06-14,21,397,33.2,Moderate
EVS03053,2024-07-02,13,380,45.9,Moderate
EVS00191,2025-06-10,8,733,25.7,Severe
EVS00636,2024-07-18,15,425,37.2,Moderate
EVS02503,2024-11-08,6,566,28.6,High
EVS03716,2024-02-25,20,654,29.6,Severe
EVS02308,2024-07-12,10,765,26.4,Severe
EVS00084,2025-05-17,2,263,48.6,Low
EVS00914,2024-12-02,13,324,44.5,Moderate
EVS02937,2024-09-14,12,243,43.9,Low
EVS03456,2024-03-30,2,250,49.1,Low
EVS00162,2025-07-24,0,256,39.5,Moderate
EVS00212,2025-04-24,14,393,45.4,Moderate
EVS01287,2025-07-04,20,793,23.8,Severe
EVS00421,2024-06-25,4,364,34.7,Moderate
EVS02702,2024-03-22,17,1024,16.4,Severe
EVS00614,2025-02-22,10,300,46.3,Moderate
EVS03227,2025-03-06,11,390,36.3,Moderate
EVS03873,2024-08-14,11,338,35.2,Moderate
EVS04862,2024-02-24,0,290,41.6,Low
EVS04749,2025-07-06,9,455,32.3,Moderate
EVS01346,2024-11-27,5,432,42.6,Moderate
EVS00143,2025-05-20,6,525,32.3,Moderate
EVS01638,2025-07-09,15,502,33.1,Moderate
EVS03529,2025-08-09,0,222,43.4,Low
EVS00298,2024-01-14,8,512,30.1,Moderate
EVS01785,2025-04-04,8,662,22.2,High
EVS01471,2025-05-12,17,744,23.0,Severe
EVS01087,2024-10-28,15,550,32.3,Moderate
EVS03516,2025-02-16,3,283,37.7,Low
EVS03282,2025-07-19,7,515,32.7,High
EVS02672,2024-07-20,0,207,43.3,Low
EVS04553,2024-08-16,22,424,44.2,Moderate
EVS00514,2025-08-04,16,730,30.6,Severe
EVS00739,2025-06-02,12,327,33.3,Moderate
EVS01912,2024-05-17,1,344,38.9,Moderate
EVS03266,2025-01-31,16,652,20.6,High
EVS02912,2025-08-17,15,488,31.0,Moderate
EVS00370,2025-09-16,22,331,43.0,Moderate
EVS04805,2025-09-13,7,600,37.6,Moderate
EVS01510,2024-09-13,18,1012,15.2,Severe
EVS01780,2024-09-27,23,444,36.4,Moderate
EVS03112,2024-08-19,20,878,19.6,Severe
EVS04732,2025-07-27,5,290,44.3,Moderate
EVS03302,2024-03-17,8,597,26.0,High
EVS04785,2025-05-13,20,696,18.2,High
EVS00930,2024-10-29,15,450,28.7,Moderate
EVS03084,2024-12-07,13,238,45.5,Low
EVS04137,2025-12-01,7,591,32.1,Severe
EVS02547,2024-02-13,16,746,25.8,Severe
EVS01798,2025-11-14,14,517,30.0,Moderate
EVS04932,2024-03-25,14,319,43.2,Moderate
EVS00696,2024-11-25,15,493,28.9,High
EVS02048,2025-03-27,16,470,36.8,Moderate
EVS04364,2025-12-16,20,668,33.3,High
EVS04503,2025-07-14,19,878,20.0,Severe
EVS04909,2024-07-04,18,1240,12.0,Severe
EVS04426,2024-08-09,1,401,40.3,Moderate
EVS00252,2025-06-23,19,966,13.6,Severe
EVS04652,2024-07-18,20,740,25.0,Severe
EVS02131,2025-09-12,15,402,34.3,Moderate
EVS03243,2025-12-05,14,395,34.4,Moderate
EVS01969,2025-08-29,2,344,41.5,Low
EVS04061,2024-09-14,8,517,28.9,Moderate
EVS02872,2024-04-21,8,905,25.2,Severe
EVS04223,2024-01-17,15,582,38.7,High
EVS00962,2024-03-31,4,256,37.1,Moderate
EVS00918,2025-09-02,6,582,26.0,High
EVS02183,2024-11-21,23,371,33.9,Moderate
EVS00024,2024-08-31,11,299,38.9,Moderate
EVS03449,2024-09-02,7,778,27.8,High
EVS01459,2024-04-03,6,619,28.3,High
EVS02782,2025-09-26,12,435,37.8,Moderate
EVS00349,2024-05-10,0,347,43.2,Moderate
EVS00843,2024-01-30,5,487,28.7,Moderate
EVS03109,2024-12-29,17,624,21.0,Moderate
EVS01513,2025-09-02,22,370,31.7,Moderate
EVS01067,2024-10-18,16,803,24.4,Severe
EVS01134,2025-07-24,1,333,41.7,Moderate
EVS01067,2025-07-01,5,473,35.1,High
EVS03109,2024-05-17,20,632,29.3,High
EVS00828,2024-05-23,7,880,21.8,Severe
EVS01802,2024-06-28,4,428,40.9,Moderate
EVS03426,2025-12-19,3,322,43.2,Moderate
EVS02570,2025-03-31,21,468,34.4,High
EVS02978,2025-10-29,5,658,27.8,Severe
EVS01235,2024-09-24,6,561,30.3,High
EVS04670,2024-08-02,11,524,36.5,Moderate
EVS02061,2025-03-23,18,798,27.7,High
EVS01415,2025-12-29,11,628,34.2,Severe
EVS04522,2025-03-19,22,401,32.6,Moderate
EVS03264,2025-10-17,19,782,22.6,High
EVS03057,2024-12-30,1,298,41.9,Low
EVS04435,2025-12-08,18,1052,21.5,Severe
EVS00293,2025-05-02,5,452,35.2,Moderate
EVS04182,2025-10-24,1,373,37.5,Low
EVS03381,2025-06-20,17,1116,14.3,Severe
EVS01787,2024-06-13,16,751,26.8,Severe
EVS01262,2025-05-11,10,294,40.0,Low
EVS00524,2024-03-13,22,444,33.4,High
EVS04713,2025-04-21,23,435,30.6,Moderate
EVS00702,2024-02-26,11,423,27.8,Moderate
EVS01278,2024-03-11,6,625,34.3,High
EVS03441,2025-07-04,20,820,16.6,Severe
EVS03541,2024-09-13,7,568,34.1,Moderate
EVS00793,2024-07-29,2,382,41.7,Moderate
EVS04064,2025-12-29,14,553,36.1,Moderate
EVS02554,2024-06-25,19,713,23.0,Severe
EVS04239,2024-10-15,20,727,26.3,High
EVS00438,2025-04-16,4,311,42.7,Moderate
EVS00210,2024-05-20,16,649,29.4,High
EVS03173,2024-03-06,22,347,36.9,Moderate
EVS00740,2024-05-18,17,677,32.0,Severe
EVS02621,2025-03-27,5,555,25.8,Moderate
EVS00067,2024-07-04,22,409,33.7,Moderate
EVS03888,2025-04-25,21,397,39.8,Moderate
EVS04499,2024-10-03,7,780,30.1,Severe
EVS04190,2024-12-06,11,537,33.5,High
EVS04804,2024-04-28,8,634,27.6,High
EVS04516,2024-05-14,20,825,26.3,Severe
EVS02205,2025-12-20,0,221,44.9,Low
EVS01987,2025-10-08,20,630,28.2,High
EVS04479,2025-11-12,8,869,19.5,Severe
EVS04637,2024-02-02,0,474,37.9,Moderate
EVS04872,2024-04-27,13,212,48.0,Moderate
EVS03828,2024-03-15,12,361,41.6,Moderate
EVS01002,2025-03-18,6,511,28.5,Moderate
EVS04731,2025-10-20,9,750,23.6,High
EVS04743,2025-12-30,17,1083,12.0,Severe
EVS03323,2025-01-23,21,565,31.9,Moderate
EVS04286,2025-08-15,22,466,37.8,Moderate
EVS02799,2025-09-27,17,723,25.6,Severe
EVS04728,2024-03-28,2,319,39.1,Moderate
EVS00472,2025-11-10,4,312,42.5,Moderate
EVS04318,2024-12-31,8,870,24.8,Severe
EVS00277,2024-07-09,15,483,39.2,High
EVS01686,2025-01-30,14,574,35.7,High
EVS00672,2024-11-27,17,799,29.0,Severe
EVS02389,2025-10-14,23,536,38.0,High
EVS01149,2025-12-21,13,338,37.2,Moderate
EVS04771,2025-07-16,0,456,37.3,Moderate
EVS02791,2024-07-01,15,627,30.2,High
EVS04488,2025-02-05,7,689,29.3,High
EVS01371,2025-07-22,7,627,33.1,High
EVS00125,2024-07-21,0,206,43.7,Low
EVS03864,2024-09-27,18,1185,12.0,Severe
EVS03495,2025-05-18,18,732,28.4,Severe
EVS02720,2024-02-10,5,407,43.5,Moderate
EVS04069,2025-01-11,11,395,41.0,Moderate
EVS04197,2024-06-07,10,574,33.4,High
EVS02933,2025-11-03,1,372,33.9,Moderate
EVS04840,2025-02-02,6,404,39.1,Moderate
EVS03587,2024-11-04,9,668,30.4,High
EVS03377,2024-12-26,0,456,33.0,Moderate
EVS01794,2025-09-19,18,739,28.5,High
EVS00012,2024-08-08,2,432,30.8,Moderate
EVS01196,2024-06-17,0,318,40.1,Low
EVS03803,2024-10-22,3,361,46.9,Moderate
EVS03540,2025-01-31,11,492,30.1,Moderate
EVS01648,2025-09-12,10,564,25.2,High
EVS03122,2024-04-21,12,326,39.9,Moderate
EVS00968,2025-06-05,3,304,43.3,Moderate
EVS01299,2025-11-22,5,267,39.0,Moderate
EVS04745,2024-01-20,11,295,39.2,Low
EVS02058,2025-05-04,4,262,40.7,Moderate
EVS01210,2025-01-18,2,222,43.9,Low
EVS02431,2025-10-15,18,990,15.6,Severe
EVS01933,2024-03-09,3,269,43.3,Moderate
EVS03635,2025-03-12,6,627,28.4,High
EVS04821,2025-02-24,20,662,33.1,High
EVS02950,2025-07-02,13,391,28.7,High
EVS02947,2025-09-22,4,328,32.6,Low
EVS01815,2024-04-07,15,330,35.1,Moderate
EVS02818,2024-06-11,6,429,30.9,Moderate
EVS01585,2024-06-12,17,1026,15.4,Severe
EVS00006,2025-09-21,16,453,39.2,Moderate
EVS04328,2025-07-24,22,461,45.7,Moderate
EVS02136,2024-12-23,15,594,29.8,High
EVS02456,2024-09-17,12,325,43.4,Moderate
EVS00421,2024-02-05,16,622,26.6,Severe
EVS04179,2025-08-08,19,739,25.8,Severe
EVS00841,2024-04-03,15,715,29.6,High
EVS02047,2025-10-24,21,517,36.7,High
EVS04197,2025-10-25,1,363,35.7,Moderate
EVS02279,2024-04-14,14,271,43.7,Low
EVS04661,2025-06-24,3,307,47.4,Low
EVS01041,2024-04-11,0,328,39.6,Moderate
EVS03567,2024-02-02,0,429,31.7,Moderate
EVS04899,2025-02-11,1,332,44.5,Moderate
EVS02743,2025-02-15,1,210,42.2,Low
EVS03446,2025-01-17,15,709,28.8,Severe
EVS01965,2025-12-08,19,1158,13.7,Severe
EVS03740,2024-05-13,13,524,35.0,Moderate
EVS04544,2024-04-16,12,401,36.3,Moderate
EVS03500,2025-09-23,5,488,39.4,Moderate
EVS04687,2025-10-19,18,547,36.1,High
