Station_ID,City,State,Latitude,Longitude,Station_Operator,Charger_Type,Charging_Capacity_kW,Number_of_Chargers,Max_Station_Power_kW,Parking_Spots,Cost_USD_per_kWh,Renewable_Energy_Source,Availability,Installation_Year,Station_Age_Years,Station_Type,Capacity_per_Parking_Spot_kW,Avg_Users_per_Day,Location_ID
EVS00011,Unknown,Unknown,19.944111,26.228083,EVgo,AC Level 1,22,3,66,5,0.39,No,9:00-18:00,2013,13,Destination/AC,13.2,101,Unknown|Unknown
EVS00012,Unknown,Unknown,55.81937,37.543245,Greenlots,AC Level 1,150,3,450,5,0.17,Yes,6:00-22:00,2016,10,Fast Charging,90.0,175,Unknown|Unknown
EVS00013,Unknown,Unknown,52.506967,13.345088,ChargePoint,AC Level 1,22,1,22,2,0.16,No,9:00-18:00,2012,14,Destination/AC,11.0,136,Unknown|Unknown
EVS00014,Unknown,Unknown,41.847035,-87.670005,Tesla,AC Level 2,50,4,200,9,0.16,Yes,24/7,2012,14,Fast Charging,22.22,140,Unknown|Unknown
EVS00015,Unknown,Unknown,25.392096,55.28618,EVgo,AC Level 2,350,5,1750,10,0.41,Yes,24/7,2013,13,Ultra-Fast Charging,175.0,133,Unknown|Unknown
EVS00016,Unknown,Unknown,25.335831,55.227629,EVgo,AC Level 2,22,7,154,9,0.34,No,6:00-22:00,2020,6,Destination/AC,17.11,144,Unknown|Unknown
EVS00017,Unknown,Unknown,13.877602,100.508728,Ionity,AC Level 1,350,2,700,3,0.17,No,6:00-22:00,2018,8,Ultra-Fast Charging,233.33,99,Unknown|Unknown
EVS00018,Unknown,Unknown,37.790361,-122.378324,ChargePoint,AC Level 1,150,4,600,7,0.44,No,24/7,2023,3,Fast Charging,85.71,36,Unknown|Unknown
EVS00019,Unknown,Unknown,37.695636,127.050246,Tesla,AC Level 1,350,1,350,2,0.25,No,9:00-18:00,2017,9,Ultra-Fast Charging,175.0,153,Unknown|Unknown
EVS00020,Unknown,Unknown,19.519719,-99.171733,Tesla,DC Fast Charger,350,3,1050,5,0.25,Yes,6:00-22:00,2023,3,Ultra-Fast Charging,210.0,89,Unknown|Unknown
EVS00021,Unknown,Unknown,81.568159,-92.791385,Ionity,DC Fast Charger,150,5,750,10,0.3,Yes,6:00-22:00,2016,10,Fast Charging,75.0,97,Unknown|Unknown
EVS00022,Unknown,Unknown,55.738402,37.675763,Tesla,AC Level 2,350,3,1050,5,0.1,No,24/7,2020,6,Ultra-Fast Charging,210.0,76,Unknown|Unknown
EVS00023,Unknown,Unknown,-33.826489,18.54196,Greenlots,AC Level 2,350,6,2100,10,0.43,Yes,9:00-18:00,2020,6,Ultra-Fast Charging,210.0,45,Unknown|Unknown
EVS00024,Unknown,Unknown,52.43128,13.407406,Tesla,DC Fast Charger,22,1,22,2,0.21,Yes,24/7,2023,3,Destination/AC,11.0,167,Unknown|Unknown
EVS00025,Unknown,Unknown,41.989867,-87.637143,ChargePoint,AC Level 1,50,6,300,7,0.5,No,9:00-18:00,2021,5,Fast Charging,42.86,143,Unknown|Unknown
EVS00026,Unknown,Unknown,39.908197,116.390126,Greenlots,DC Fast Charger,50,1,50,1,0.47,No,24/7,2015,11,Fast Charging,50.0,121,Unknown|Unknown
EVS00027,Unknown,Unknown,13.743441,100.449744,ChargePoint,DC Fast Charger,150,6,900,7,0.5,No,9:00-18:00,2020,6,Fast Charging,128.57,81,Unknown|Unknown
EVS00028,Unknown,Unknown,-23.654772,-46.534003,Tesla,AC Level 1,50,2,100,3,0.25,No,24/7,2014,12,Fast Charging,33.33,150,Unknown|Unknown
EVS00029,Unknown,Unknown,-33.718044,151.217306,Ionity,AC Level 1,22,7,154,9,0.45,No,6:00-22:00,2017,9,Destination/AC,17.11,104,Unknown|Unknown
EVS00030,Unknown,Unknown,39.807514,116.203733,EVgo,DC Fast Charger,50,4,200,5,0.2,No,6:00-22:00,2013,13,Fast Charging,40.0,88,Unknown|Unknown
EVS00031,Unknown,Unknown,53.03844,17.213144,Tesla,AC Level 2,22,3,66,5,0.17,Yes,24/7,2018,8,Destination/AC,13.2,89,Unknown|Unknown
EVS00032,Unknown,Unknown,39.999797,116.345712,Tesla,AC Level 2,150,2,300,3,0.19,Yes,9:00-18:00,2020,6,Fast Charging,100.0,52,Unknown|Unknown
EVS00033,Unknown,Unknown,-23.619267,-46.67757,Tesla,DC Fast Charger,350,5,1750,7,0.46,No,24/7,2018,8,Ultra-Fast Charging,250.0,30,Unknown|Unknown
EVS00034,Unknown,Unknown,39.843388,116.357078,EVgo,AC Level 1,150,4,600,9,0.21,Yes,6:00-22:00,2018,8,Fast Charging,66.67,106,Unknown|Unknown
EVS00035,Unknown,Unknown,41.868532,-87.602875,Ionity,AC Level 2,50,2,100,2,0.22,Yes,9:00-18:00,2015,11,Fast Charging,50.0,161,Unknown|Unknown
EVS00036,Unknown,Unknown,43.634205,-79.494221,Greenlots,AC Level 2,22,3,66,4,0.39,Yes,6:00-22:00,2012,14,Destination/AC,16.5,25,Unknown|Unknown
EVS00037,Unknown,Unknown,13.756978,100.402198,Greenlots,AC Level 1,350,1,350,1,0.29,No,9:00-18:00,2016,10,Ultra-Fast Charging,350.0,156,Unknown|Unknown
EVS00038,Unknown,Unknown,-33.759342,151.210366,Ionity,AC Level 1,22,2,44,4,0.13,Yes,9:00-18:00,2018,8,Destination/AC,11.0,151,Unknown|Unknown
EVS00039,Unknown,Unknown,39.941888,116.320916,Ionity,DC Fast Charger,350,1,350,3,0.37,Yes,24/7,2023,3,Ultra-Fast Charging,116.67,60,Unknown|Unknown
EVS00040,Unknown,Unknown,-33.726294,18.460786,Tesla,AC Level 2,50,1,50,1,0.41,No,24/7,2012,14,Fast Charging,50.0,119,Unknown|Unknown
EVS00041,Unknown,Unknown,-52.343695,-47.887828,EVgo,AC Level 1,350,2,700,3,0.44,No,6:00-22:00,2014,12,Ultra-Fast Charging,233.33,42,Unknown|Unknown
EVS00042,Unknown,Unknown,41.978341,-87.77332,Tesla,DC Fast Charger,50,2,100,3,0.39,No,9:00-18:00,2023,3,Fast Charging,33.33,140,Unknown|Unknown
EVS00043,Unknown,Unknown,25.281221,55.258951,Greenlots,AC Level 1,50,5,250,8,0.27,Yes,6:00-22:00,2012,14,Fast Charging,31.25,130,Unknown|Unknown
EVS00044,Unknown,Unknown,37.574357,127.067507,ChargePoint,AC Level 1,50,2,100,3,0.36,No,9:00-18:00,2019,7,Fast Charging,33.33,73,Unknown|Unknown
EVS00045,Unknown,Unknown,-33.737572,151.335511,Ionity,AC Level 2,22,2,44,3,0.4,Yes,9:00-18:00,2018,8,Destination/AC,14.67,26,Unknown|Unknown
EVS00046,Unknown,Unknown,41.935571,-87.741868,EVgo,DC Fast Charger,50,2,100,3,0.22,No,9:00-18:00,2020,6,Fast Charging,33.33,175,Unknown|Unknown
EVS00047,Unknown,Unknown,19.055518,72.88937,Ionity,AC Level 1,50,8,400,9,0.35,Yes,24/7,2021,5,Fast Charging,44.44,88,Unknown|Unknown
EVS00048,Unknown,Unknown,-33.786133,151.295304,ChargePoint,DC Fast Charger,150,2,300,4,0.13,No,24/7,2022,4,Fast Charging,75.0,162,Unknown|Unknown
EVS00049,Unknown,Unknown,41.878593,-87.69892,ChargePoint,AC Level 1,150,5,750,8,0.18,Yes,9:00-18:00,2011,15,Fast Charging,93.75,126,Unknown|Unknown
EVS00050,Unknown,Unknown,34.18596,-118.347082,ChargePoint,AC Level 2,150,5,750,9,0.47,Yes,24/7,2023,3,Fast Charging,83.33,143,Unknown|Unknown
EVS00051,Unknown,Unknown,68.997157,173.396684,EVgo,AC Level 1,50,6,300,9,0.45,No,24/7,2022,4,Fast Charging,33.33,140,Unknown|Unknown
EVS00052,Unknown,Unknown,52.424113,13.37999,ChargePoint,AC Level 2,50,2,100,3,0.33,No,9:00-18:00,2011,15,Fast Charging,33.33,47,Unknown|Unknown
EVS00053,Unknown,Unknown,55.720058,37.598246,Greenlots,AC Level 2,22,3,66,4,0.49,No,9:00-18:00,2017,9,Destination/AC,16.5,75,Unknown|Unknown
EVS00054,Unknown,Unknown,41.948302,-87.718438,Ionity,DC Fast Charger,50,3,150,4,0.37,Yes,24/7,2016,10,Fast Charging,37.5,92,Unknown|Unknown
EVS00055,Unknown,Unknown,37.5231,127.072447,Tesla,AC Level 1,150,3,450,5,0.13,Yes,24/7,2013,13,Fast Charging,90.0,97,Unknown|Unknown
EVS00056,Unknown,Unknown,19.118476,72.956977,ChargePoint,AC Level 2,150,3,450,4,0.18,Yes,6:00-22:00,2013,13,Fast Charging,112.5,22,Unknown|Unknown
EVS00057,Unknown,Unknown,25.283465,55.264578,Greenlots,DC Fast Charger,50,4,200,8,0.42,No,9:00-18:00,2018,8,Fast Charging,25.0,105,Unknown|Unknown
EVS00058,Unknown,Unknown,37.601252,127.028633,EVgo,AC Level 1,150,2,300,4,0.41,Yes,9:00-18:00,2012,14,Fast Charging,75.0,40,Unknown|Unknown
EVS00059,Unknown,Unknown,41.959182,-87.684862,EVgo,DC Fast Charger,350,6,2100,9,0.18,No,24/7,2022,4,Ultra-Fast Charging,233.33,137,Unknown|Unknown
EVS00060,Unknown,Unknown,41.801381,-87.620772,Tesla,AC Level 2,22,2,44,4,0.3,Yes,9:00-18:00,2010,16,Destination/AC,11.0,127,Unknown|Unknown
EVS00061,Unknown,Unknown,35.844347,28.705089,Ionity,DC Fast Charger,22,3,66,4,0.33,No,9:00-18:00,2020,6,Destination/AC,16.5,167,Unknown|Unknown
EVS00062,Unknown,Unknown,-33.733482,18.441992,Greenlots,DC Fast Charger,50,6,300,8,0.23,Yes,6:00-22:00,2023,3,Fast Charging,37.5,137,Unknown|Unknown
EVS00063,Unknown,Unknown,41.970902,-87.795455,Greenlots,DC Fast Charger,350,7,2450,9,0.28,No,9:00-18:00,2018,8,Ultra-Fast Charging,272.22,75,Unknown|Unknown
EVS00064,Unknown,Unknown,43.73349,-79.340516,Ionity,AC Level 2,22,3,66,4,0.36,Yes,24/7,2018,8,Destination/AC,16.5,174,Unknown|Unknown
EVS00065,Unknown,Unknown,25.387104,55.376848,Greenlots,DC Fast Charger,350,5,1750,7,0.27,No,24/7,2019,7,Ultra-Fast Charging,250.0,82,Unknown|Unknown
EVS00066,Unknown,Unknown,-33.877766,151.208813,EVgo,DC Fast Charger,350,2,700,3,0.32,Yes,24/7,2013,13,Ultra-Fast Charging,233.33,68,Unknown|Unknown
EVS00067,Unknown,Unknown,37.685854,126.915749,Greenlots,AC Level 2,150,1,150,3,0.45,Yes,24/7,2020,6,Fast Charging,50.0,164,Unknown|Unknown
EVS00068,Unknown,Unknown,39.924519,116.33618,Tesla,DC Fast Charger,350,1,350,3,0.36,No,24/7,2015,11,Ultra-Fast Charging,116.67,76,Unknown|Unknown
EVS00069,Unknown,Unknown,25.358698,55.306683,Ionity,DC Fast Charger,50,6,300,8,0.14,Yes,6:00-22:00,2016,10,Fast Charging,37.5,27,Unknown|Unknown
EVS00070,Unknown,Unknown,34.130318,-118.265518,ChargePoint,DC Fast Charger,150,8,1200,10,0.41,No,6:00-22:00,2020,6,Fast Charging,120.0,92,Unknown|Unknown
EVS00071,Unknown,Unknown,81.083548,138.025159,Greenlots,AC Level 2,50,1,50,3,0.44,Yes,9:00-18:00,2017,9,Fast Charging,16.67,146,Unknown|Unknown
EVS00072,Unknown,Unknown,-33.796979,18.591207,Tesla,AC Level 1,22,4,88,6,0.46,Yes,9:00-18:00,2020,6,Destination/AC,14.67,46,Unknown|Unknown
EVS00073,Unknown,Unknown,34.001771,-118.315113,Ionity,AC Level 2,22,2,44,2,0.34,No,9:00-18:00,2016,10,Destination/AC,22.0,91,Unknown|Unknown
EVS00074,Unknown,Unknown,39.839933,116.357848,Ionity,AC Level 1,350,8,2800,10,0.23,No,24/7,2018,8,Ultra-Fast Charging,280.0,36,Unknown|Unknown
EVS00075,Unknown,Unknown,39.818753,116.437967,Greenlots,DC Fast Charger,22,1,22,1,0.45,Yes,6:00-22:00,2017,9,Destination/AC,22.0,128,Unknown|Unknown
EVS00076,Unknown,Unknown,-23.531806,-46.657324,Tesla,AC Level 2,50,6,300,8,0.16,Yes,24/7,2022,4,Fast Charging,37.5,93,Unknown|Unknown
EVS00077,Unknown,Unknown,13.764058,100.543192,Greenlots,DC Fast Charger,22,7,154,10,0.46,Yes,9:00-18:00,2023,3,Destination/AC,15.4,69,Unknown|Unknown
EVS00078,Unknown,Unknown,-33.756344,151.215081,ChargePoint,AC Level 2,350,4,1400,5,0.34,Yes,24/7,2017,9,Ultra-Fast Charging,280.0,52,Unknown|Unknown
EVS00079,Unknown,Unknown,18.95993,72.979858,ChargePoint,DC Fast Charger,350,1,350,2,0.27,Yes,6:00-22:00,2022,4,Ultra-Fast Charging,175.0,108,Unknown|Unknown
EVS00080,Unknown,Unknown,34.174544,-118.206495,EVgo,AC Level 2,150,3,450,4,0.45,Yes,24/7,2021,5,Fast Charging,112.5,125,Unknown|Unknown
EVS00081,Unknown,Unknown,-48.226753,-41.530541,EVgo,AC Level 2,350,5,1750,10,0.35,No,9:00-18:00,2023,3,Ultra-Fast Charging,175.0,170,Unknown|Unknown
EVS00082,Unknown,Unknown,19.523567,-99.039919,EVgo,DC Fast Charger,50,3,150,4,0.32,Yes,24/7,2023,3,Fast Charging,37.5,87,Unknown|Unknown
EVS00083,Unknown,Unknown,-33.791097,18.432514,Ionity,AC Level 2,350,4,1400,8,0.36,Yes,6:00-22:00,2014,12,Ultra-Fast Charging,175.0,41,Unknown|Unknown
EVS00084,Unknown,Unknown,55.80858,37.561068,ChargePoint,AC Level 2,150,1,150,1,0.28,Yes,6:00-22:00,2010,16,Fast Charging,150.0,152,Unknown|Unknown
EVS00085,Unknown,Unknown,41.848181,-87.613822,Tesla,AC Level 2,50,4,200,9,0.13,Yes,6:00-22:00,2012,14,Fast Charging,22.22,118,Unknown|Unknown
EVS00086,Unknown,Unknown,39.905622,116.394232,Tesla,AC Level 2,50,5,250,8,0.49,Yes,24/7,2011,15,Fast Charging,31.25,130,Unknown|Unknown
EVS00087,Unknown,Unknown,41.825261,-87.749237,EVgo,AC Level 2,50,6,300,10,0.2,No,6:00-22:00,2019,7,Fast Charging,30.0,31,Unknown|Unknown
EVS00088,Unknown,Unknown,-33.738647,18.566822,Ionity,DC Fast Charger,350,3,1050,6,0.37,No,6:00-22:00,2022,4,Ultra-Fast Charging,175.0,66,Unknown|Unknown
EVS00089,Unknown,Unknown,43.633114,-79.440012,ChargePoint,AC Level 1,50,4,200,6,0.16,No,9:00-18:00,2018,8,Fast Charging,33.33,141,Unknown|Unknown
EVS00090,Unknown,Unknown,55.816399,37.517124,EVgo,AC Level 2,150,2,300,3,0.47,Yes,6:00-22:00,2016,10,Fast Charging,100.0,152,Unknown|Unknown
EVS00091,Unknown,Unknown,34.909016,103.164075,Ionity,AC Level 1,150,8,1200,10,0.19,Yes,24/7,2015,11,Fast Charging,120.0,86,Unknown|Unknown
EVS00092,Unknown,Unknown,37.737894,-122.413068,EVgo,AC Level 1,350,2,700,3,0.39,Yes,24/7,2018,8,Ultra-Fast Charging,233.33,147,Unknown|Unknown
EVS00093,Unknown,Unknown,52.458154,13.383548,Greenlots,AC Level 1,350,6,2100,8,0.11,Yes,9:00-18:00,2022,4,Ultra-Fast Charging,262.5,153,Unknown|Unknown
EVS00094,Unknown,Unknown,52.459482,13.420488,Tesla,AC Level 2,50,3,150,7,0.3,Yes,9:00-18:00,2018,8,Fast Charging,21.43,78,Unknown|Unknown
EVS00095,Unknown,Unknown,13.875159,100.507561,Greenlots,AC Level 1,22,2,44,3,0.3,No,6:00-22:00,2021,5,Destination/AC,14.67,163,Unknown|Unknown
EVS00096,Unknown,Unknown,-23.603702,-46.520629,ChargePoint,AC Level 1,50,2,100,2,0.11,Yes,24/7,2014,12,Fast Charging,50.0,62,Unknown|Unknown
EVS00097,Unknown,Unknown,34.036969,-118.348881,Tesla,AC Level 2,22,2,44,5,0.44,Yes,24/7,2020,6,Destination/AC,8.8,54,Unknown|Unknown
EVS00098,Unknown,Unknown,39.85934,116.359182,Tesla,DC Fast Charger,350,3,1050,5,0.2,No,6:00-22:00,2023,3,Ultra-Fast Charging,210.0,127,Unknown|Unknown
EVS00099,Unknown,Unknown,25.264785,55.343229,Tesla,AC Level 2,350,7,2450,8,0.41,Yes,9:00-18:00,2015,11,Ultra-Fast Charging,306.25,120,Unknown|Unknown
EVS00100,Unknown,Unknown,37.568724,126.962294,ChargePoint,AC Level 2,150,8,1200,10,0.41,No,9:00-18:00,2018,8,Fast Charging,120.0,38,Unknown|Unknown
EVS00101,Unknown,Unknown,10.942627,125.16781,ChargePoint,DC Fast Charger,50,1,50,1,0.12,Yes,24/7,2013,13,Fast Charging,50.0,152,Unknown|Unknown
EVS00102,Unknown,Unknown,39.937451,116.323201,Ionity,DC Fast Charger,22,3,66,4,0.12,No,24/7,2023,3,Destination/AC,16.5,47,Unknown|Unknown
EVS00103,Unknown,Unknown,37.64878,126.903295,Greenlots,AC Level 1,22,4,88,7,0.32,No,9:00-18:00,2010,16,Destination/AC,12.57,147,Unknown|Unknown
EVS00104,Unknown,Unknown,43.737898,-79.330018,Ionity,AC Level 2,22,4,88,5,0.14,No,6:00-22:00,2020,6,Destination/AC,17.6,16,Unknown|Unknown
EVS00105,Unknown,Unknown,19.587423,-99.072921,EVgo,AC Level 2,150,5,750,10,0.26,No,24/7,2018,8,Fast Charging,75.0,146,Unknown|Unknown
EVS00106,Unknown,Unknown,19.521945,-99.049855,ChargePoint,AC Level 2,350,1,350,1,0.29,No,9:00-18:00,2012,14,Ultra-Fast Charging,350.0,144,Unknown|Unknown
EVS00107,Unknown,Unknown,-33.733347,18.455827,ChargePoint,DC Fast Charger,22,5,110,7,0.31,No,6:00-22:00,2011,15,Destination/AC,15.71,143,Unknown|Unknown
EVS00108,Unknown,Unknown,18.97956,72.963574,Tesla,AC Level 2,350,4,1400,7,0.11,Yes,6:00-22:00,2020,6,Ultra-Fast Charging,200.0,124,Unknown|Unknown
EVS00109,Unknown,Unknown,55.723104,37.652898,Ionity,DC Fast Charger,50,5,250,7,0.19,No,24/7,2018,8,Fast Charging,35.71,92,Unknown|Unknown
EVS00110,Unknown,Unknown,39.857604,116.357044,EVgo,AC Level 1,350,5,1750,9,0.19,Yes,9:00-18:00,2018,8,Ultra-Fast Charging,194.44,131,Unknown|Unknown
EVS00111,Unknown,Unknown,-16.299957,56.504931,Ionity,DC Fast Charger,350,6,2100,7,0.15,Yes,6:00-22:00,2010,16,Ultra-Fast Charging,300.0,60,Unknown|Unknown
EVS00112,Unknown,Unknown,41.902876,-87.633567,Greenlots,AC Level 1,50,2,100,2,0.35,Yes,6:00-22:00,2017,9,Fast Charging,50.0,143,Unknown|Unknown
EVS00113,Unknown,Unknown,13.76324,100.555092,ChargePoint,AC Level 2,150,6,900,10,0.27,Yes,24/7,2014,12,Fast Charging,90.0,106,Unknown|Unknown
EVS00114,Unknown,Unknown,19.085914,72.847076,ChargePoint,AC Level 2,50,7,350,9,0.39,Yes,6:00-22:00,2022,4,Fast Charging,38.89,90,Unknown|Unknown
EVS00115,Unknown,Unknown,37.614963,127.071672,Greenlots,AC Level 2,50,2,100,4,0.31,No,6:00-22:00,2018,8,Fast Charging,25.0,98,Unknown|Unknown
EVS00116,Unknown,Unknown,41.945245,-87.702684,ChargePoint,AC Level 2,50,1,50,1,0.3,Yes,6:00-22:00,2017,9,Fast Charging,50.0,108,Unknown|Unknown
EVS00117,Unknown,Unknown,39.964943,116.356573,Ionity,AC Level 2,22,4,88,7,0.37,No,6:00-22:00,2010,16,Destination/AC,12.57,21,Unknown|Unknown
EVS00118,Unknown,Unknown,25.364988,55.308793,Tesla,DC Fast Charger,22,6,132,8,0.17,No,24/7,2015,11,Destination/AC,16.5,38,Unknown|Unknown
EVS00119,Unknown,Unknown,25.327731,55.265229,Greenlots,AC Level 2,50,5,250,6,0.18,Yes,9:00-18:00,2017,9,Fast Charging,41.67,55,Unknown|Unknown
EVS00120,Unknown,Unknown,-33.752322,151.290734,Tesla,AC Level 2,150,7,1050,9,0.28,No,24/7,2023,3,Fast Charging,116.67,33,Unknown|Unknown
EVS00121,Unknown,Unknown,-39.773789,-118.454132,Tesla,DC Fast Charger,150,2,300,3,0.4,Yes,24/7,2017,9,Fast Charging,100.0,87,Unknown|Unknown
EVS00122,Unknown,Unknown,34.006015,-118.340642,Greenlots,AC Level 2,50,2,100,2,0.29,Yes,9:00-18:00,2021,5,Fast Charging,50.0,125,Unknown|Unknown
EVS00123,Unknown,Unknown,-23.632022,-46.571271,Tesla,AC Level 2,50,4,200,7,0.21,Yes,6:00-22:00,2021,5,Fast Charging,28.57,122,Unknown|Unknown
EVS00124,Unknown,Unknown,55.879507,37.662621,EVgo,AC Level 2,50,5,250,6,0.46,Yes,24/7,2019,7,Fast Charging,41.67,92,Unknown|Unknown
EVS00125,Unknown,Unknown,-33.85476,151.300876,Tesla,DC Fast Charger,50,1,50,1,0.48,No,6:00-22:00,2022,4,Fast Charging,50.0,156,Unknown|Unknown
EVS00126,Unknown,Unknown,37.532948,127.008718,Tesla,AC Level 1,150,6,900,10,0.47,Yes,24/7,2021,5,Fast Charging,90.0,108,Unknown|Unknown
EVS00127,Unknown,Unknown,19.432658,-99.086061,Ionity,DC Fast Charger,22,5,110,8,0.21,No,6:00-22:00,2012,14,Destination/AC,13.75,28,Unknown|Unknown
EVS00128,Unknown,Unknown,-33.872186,151.346868,Ionity,AC Level 2,50,4,200,6,0.16,No,24/7,2013,13,Fast Charging,33.33,141,Unknown|Unknown
EVS00129,Unknown,Unknown,39.916791,116.267198,Ionity,AC Level 1,22,2,44,4,0.1,Yes,6:00-22:00,2021,5,Destination/AC,11.0,109,Unknown|Unknown
EVS00130,Unknown,Unknown,41.933882,-87.634607,EVgo,DC Fast Charger,150,2,300,4,0.35,Yes,24/7,2013,13,Fast Charging,75.0,119,Unknown|Unknown
EVS00131,Unknown,Unknown,32.988859,32.234936,Tesla,AC Level 1,50,1,50,1,0.16,Yes,6:00-22:00,2012,14,Fast Charging,50.0,108,Unknown|Unknown
EVS00132,Unknown,Unknown,41.968075,-87.730962,EVgo,AC Level 1,150,1,150,1,0.27,No,9:00-18:00,2016,10,Fast Charging,150.0,106,Unknown|Unknown
EVS00133,Unknown,Unknown,25.312641,55.273931,EVgo,DC Fast Charger,22,3,66,4,0.43,Yes,6:00-22:00,2014,12,Destination/AC,16.5,29,Unknown|Unknown
EVS00134,Unknown,Unknown,41.847635,-87.753595,Greenlots,AC Level 1,50,6,300,8,0.33,No,24/7,2017,9,Fast Charging,37.5,107,Unknown|Unknown
EVS00135,Unknown,Unknown,19.053562,72.835112,Greenlots,DC Fast Charger,350,7,2450,10,0.25,No,6:00-22:00,2017,9,Ultra-Fast Charging,245.0,146,Unknown|Unknown
EVS00136,Unknown,Unknown,-33.885375,151.309019,Tesla,AC Level 1,350,2,700,4,0.34,No,6:00-22:00,2010,16,Ultra-Fast Charging,175.0,65,Unknown|Unknown
EVS00137,Unknown,Unknown,-33.762238,18.497402,Ionity,AC Level 1,350,3,1050,4,0.41,Yes,9:00-18:00,2020,6,Ultra-Fast Charging,262.5,114,Unknown|Unknown
EVS00138,Unknown,Unknown,43.667051,-79.49562,Tesla,DC Fast Charger,22,1,22,2,0.33,Yes,6:00-22:00,2019,7,Destination/AC,11.0,20,Unknown|Unknown
EVS00139,Unknown,Unknown,39.972485,116.200458,Ionity,AC Level 1,22,2,44,3,0.34,Yes,6:00-22:00,2016,10,Destination/AC,14.67,72,Unknown|Unknown
EVS00140,Unknown,Unknown,-33.704286,18.454534,Tesla,AC Level 2,350,2,700,4,0.5,Yes,6:00-22:00,2011,15,Ultra-Fast Charging,175.0,87,Unknown|Unknown
EVS00141,Unknown,Unknown,-50.498253,-91.137594,Tesla,AC Level 1,22,4,88,6,0.35,No,6:00-22:00,2010,16,Destination/AC,14.67,177,Unknown|Unknown
EVS00142,Unknown,Unknown,39.92592,116.423656,ChargePoint,AC Level 1,150,8,1200,10,0.11,No,24/7,2022,4,Fast Charging,120.0,50,Unknown|Unknown
EVS00143,Unknown,Unknown,-33.77252,18.541711,ChargePoint,AC Level 2,50,5,250,8,0.44,No,6:00-22:00,2023,3,Fast Charging,31.25,60,Unknown|Unknown
EVS00144,Unknown,Unknown,43.654641,-79.348446,Greenlots,DC Fast Charger,150,3,450,4,0.15,Yes,6:00-22:00,2017,9,Fast Charging,112.5,82,Unknown|Unknown
EVS00145,Unknown,Unknown,55.720416,37.545201,Greenlots,AC Level 1,350,5,1750,9,0.5,Yes,24/7,2012,14,Ultra-Fast Charging,194.44,178,Unknown|Unknown
EVS00146,Unknown,Unknown,-23.545409,-46.511423,Greenlots,DC Fast Charger,50,2,100,3,0.2,Yes,24/7,2010,16,Fast Charging,33.33,155,Unknown|Unknown
EVS00147,Unknown,Unknown,13.874673,100.499411,ChargePoint,AC Level 1,350,7,2450,9,0.39,Yes,6:00-22:00,2011,15,Ultra-Fast Charging,272.22,20,Unknown|Unknown
EVS00148,Unknown,Unknown,52.45077,13.404804,ChargePoint,AC Level 1,150,5,750,6,0.41,No,6:00-22:00,2011,15,Fast Charging,125.0,53,Unknown|Unknown
EVS00149,Unknown,Unknown,19.494854,-99.114742,Tesla,AC Level 2,50,6,300,9,0.26,Yes,24/7,2018,8,Fast Charging,33.33,150,Unknown|Unknown
EVS00150,Unknown,Unknown,37.769385,-122.409949,EVgo,AC Level 2,22,1,22,1,0.5,No,6:00-22:00,2017,9,Destination/AC,22.0,24,Unknown|Unknown
