Vehicle_ID,Vehicle_Type,Battery_Capacity_kWh,Vehicle_Age_Years
VEH00175,Sedan,70.0,7
VEH00176,SUV,60.0,1
VEH00177,Hatchback,50.0,2
VEH00178,SUV,80.0,5
VEH00179,Pickup,60.0,7
VEH00180,Pickup,50.0,4
VEH00181,Van,80.0,0
VEH00182,SUV,90.0,3
VEH00183,SUV,60.0,11
VEH00184,Pickup,90.0,6
VEH00185,Pickup,100.0,10
VEH00186,Hatchback,40.0,3
VEH00187,Sedan,90.0,4
VEH00188,SUV,70.0,7
VEH00189,Hatchback,50.0,7
VEH00190,Pickup,90.0,10
VEH00191,SUV,100.0,9
VEH00192,Van,60.0,9
VEH00193,Pickup,80.0,7
VEH00194,SUV,90.0,5
VEH00195,Hatchback,50.0,8
VEH00196,SUV,70.0,4
VEH00197,SUV,70.0,8
VEH00198,SUV,90.0,11
VEH00199,Pickup,80.0,9
VEH00200,Sedan,80.0,4
VEH00201,Van,100.0,9
VEH00202,Sedan,50.0,6
VEH00203,Sedan,50.0,11
VEH00204,Hatchback,70.0,11
VEH00205,Pickup,80.0,3
VEH00206,SUV,40.0,8
VEH00207,Hatchback,70.0,7
VEH00208,Van,50.0,0
VEH00209,Sedan,90.0,11
VEH00210,Hatchback,50.0,9
VEH00211,Pickup,80.0,3
VEH00212,Hatchback,70.0,10
VEH00213,Sedan,60.0,9
VEH00214,SUV,50.0,2
VEH00215,Sedan,60.0,2
VEH00216,Pickup,80.0,9
VEH00217,Van,60.0,6
VEH00218,Van,40.0,1
VEH00219,SUV,50.0,11
VEH00220,Van,60.0,5
VEH00221,Sedan,90.0,6
VEH00222,SUV,80.0,9
VEH00223,Sedan,50.0,4
VEH00224,Hatchback,60.0,0
VEH00225,Sedan,60.0,10
VEH00226,Hatchback,90.0,10
VEH00227,Hatchback,70.0,11
VEH00228,Pickup,60.0,8
VEH00229,Sedan,50.0,11
VEH00230,Hatchback,70.0,6
VEH00231,Hatchback,60.0,7
VEH00232,SUV,60.0,3
VEH00233,Van,60.0,10
VEH00234,Pickup,40.0,10
VEH00235,Hatchback,60.0,11
VEH00236,SUV,60.0,2
VEH00237,Van,80.0,0
VEH00238,Hatchback,70.0,8
VEH00239,SUV,70.0,8
VEH00240,SUV,50.0,0
VEH00241,Hatchback,40.0,5
VEH00242,SUV,40.0,3
VEH00243,Pickup,90.0,7
VEH00244,Pickup,80.0,0
VEH00245,Hatchback,50.0,7
VEH00246,Sedan,60.0,7
VEH00247,SUV,90.0,10
VEH00248,SUV,100.0,9
VEH00249,Sedan,90.0,8
VEH00250,Pickup,50.0,0
VEH00251,Sedan,70.0,11
VEH00252,Pickup,60.0,7
VEH00253,Hatchback,70.0,11
VEH00254,Sedan,50.0,7
VEH00255,Sedan,70.0,7
VEH00256,Van,70.0,10
VEH00257,SUV,40.0,4
VEH00258,SUV,60.0,0
VEH00259,Hatchback,80.0,2
VEH00260,Hatchback,60.0,11
VEH00261,Sedan,80.0,3
VEH00262,Sedan,80.0,4
VEH00263,Van,40.0,2
VEH00264,Sedan,100.0,9
VEH00265,Van,90.0,1
VEH00266,Sedan,60.0,10
VEH00267,Van,70.0,8
VEH00268,Sedan,60.0,8
VEH00269,Van,100.0,5
VEH00270,SUV,40.0,5
VEH00271,Pickup,60.0,5
VEH00272,Sedan,90.0,4
VEH00273,Sedan,80.0,3
VEH00274,Van,60.0,3
VEH00275,SUV,50.0,0
VEH00276,Hatchback,90.0,11
VEH00277,Sedan,50.0,1
VEH00278,SUV,80.0,10
VEH00279,SUV,80.0,11
VEH00280,Pickup,40.0,4
VEH00281,Sedan,50.0,7
VEH00282,Pickup,50.0,4
VEH00283,Pickup,70.0,5
VEH00284,SUV,80.0,10
VEH00285,Sedan,70.0,8
VEH00286,Van,100.0,2
VEH00287,SUV,80.0,7
VEH00288,Pickup,40.0,8
VEH00289,Van,60.0,8
VEH00290,SUV,70.0,3
VEH00291,Hatchback,50.0,9
VEH00292,SUV,60.0,8
VEH00293,Pickup,60.0,2
VEH00294,Sedan,80.0,7
VEH00295,Sedan,40.0,1
VEH00296,SUV,70.0,2
VEH00297,SUV,80.0,10
VEH00298,Van,40.0,3
VEH00299,Sedan,50.0,11
VEH00300,Pickup,40.0,9
VEH00301,SUV,100.0,6
VEH00302,Sedan,50.0,8
VEH00303,Hatchback,40.0,0
VEH00304,Sedan,60.0,8
VEH00305,SUV,50.0,9
VEH00306,Sedan,70.0,6
VEH00307,Sedan,50.0,7
VEH00308,SUV,80.0,7
VEH00309,Sedan,40.0,6
VEH00310,SUV,80.0,0
VEH00311,SUV,60.0,2
VEH00312,SUV,60.0,2
VEH00313,Van,80.0,6
VEH00314,Sedan,100.0,7
VEH00315,Sedan,60.0,8
VEH00316,SUV,40.0,0
VEH00317,SUV,70.0,11
VEH00318,Sedan,60.0,11
VEH00319,Hatchback,50.0,10
VEH00320,SUV,100.0,5
VEH00321,Sedan,60.0,11
VEH00322,Hatchback,60.0,2
VEH00323,SUV,70.0,7
VEH00324,Hatchback,60.0,2
VEH00325,Sedan,50.0,10
VEH00326,Hatchback,40.0,10
VEH00327,SUV,60.0,7
VEH00328,Hatchback,50.0,0
VEH00329,Hatchback,70.0,8
VEH00330,Hatchback,40.0,5
VEH00331,Sedan,50.0,0
VEH00332,Pickup,50.0,7
VEH00333,Hatchback,50.0,6
VEH00334,Sedan,70.0,3
VEH00335,Sedan,90.0,4
VEH00336,SUV,70.0,5
VEH00337,SUV,70.0,7
VEH00338,Pickup,40.0,9
VEH00339,Sedan,80.0,10
VEH00340,Sedan,100.0,3
VEH00341,SUV,70.0,11
VEH00342,Sedan,70.0,0
VEH00343,SUV,50.0,2
VEH00344,SUV,80.0,7
VEH00345,Sedan,50.0,7
VEH00346,Hatchback,60.0,3
VEH00347,SUV,80.0,1
VEH00348,Sedan,70.0,7
VEH00349,SUV,70.0,2
VEH00350,Sedan,40.0,11
VEH00351,SUV,80.0,1
VEH00352,Sedan,60.0,4
VEH00353,SUV,60.0,8
VEH00354,Sedan,90.0,3
VEH00355,Hatchback,90.0,6
VEH00356,SUV,40.0,4
VEH00357,Pickup,100.0,8
VEH00358,SUV,60.0,8
VEH00359,Sedan,90.0,0
VEH00360,SUV,90.0,9
VEH00361,Pickup,40.0,2
VEH00362,SUV,40.0,4
VEH00363,Hatchback,50.0,10
VEH00364,Sedan,70.0,10
VEH00365,SUV,60.0,9
VEH00366,Sedan,100.0,9
VEH00367,Hatchback,70.0,8
VEH00368,SUV,40.0,0
VEH00369,SUV,100.0,1
VEH00370,Hatchback,90.0,4
VEH00371,Sedan,70.0,0
VEH00372,Sedan,60.0,11
VEH00373,Hatchback,70.0,11
VEH00374,Pickup,80.0,8
VEH00375,Sedan,60.0,7
VEH00376,Sedan,70.0,5
VEH00377,Sedan,50.0,8
VEH00378,Sedan,50.0,9
VEH00379,Hatchback,50.0,7
VEH00380,SUV,70.0,6
VEH00381,SUV,70.0,7
VEH00382,Sedan,60.0,5
VEH00383,SUV,40.0,1
VEH00384,Sedan,70.0,8
VEH00385,Pickup,50.0,11
VEH00386,SUV,70.0,7
VEH00387,SUV,50.0,1
VEH00388,Van,60.0,8
VEH00389,Sedan,40.0,4
VEH00390,Pickup,50.0,6
VEH00391,Pickup,90.0,11
VEH00392,Van,70.0,0
VEH00393,SUV,50.0,9
VEH00394,SUV,100.0,1
VEH00395,SUV,90.0,1
VEH00396,Hatchback,40.0,9
VEH00397,Hatchback,40.0,10
VEH00398,Pickup,60.0,7
VEH00399,Hatchback,70.0,11
VEH00400,Sedan,70.0,8
VEH00401,Hatchback,70.0,9
VEH00402,Sedan,70.0,2
VEH00403,Hatchback,40.0,2
VEH00404,SUV,50.0,6
VEH00405,SUV,50.0,11
VEH00406,Van,90.0,2
VEH00407,Sedan,50.0,6
VEH00408,Van,90.0,10
VEH00409,Van,70.0,10
VEH00410,SUV,50.0,7
VEH00411,SUV,50.0,7
VEH00412,Sedan,60.0,8
VEH00413,SUV,80.0,0
VEH00414,Sedan,80.0,11
VEH00415,Van,70.0,3
VEH00416,Sedan,60.0,2
VEH00417,SUV,50.0,10
VEH00418,Sedan,80.0,10
VEH00419,Sedan,50.0,3
VEH00420,SUV,50.0,8
VEH00421,Sedan,60.0,6
VEH00422,SUV,60.0,8
VEH00423,Pickup,50.0,4
VEH00424,SUV,70.0,4
VEH00425,Sedan,70.0,8
VEH00426,SUV,90.0,0
VEH00427,Pickup,60.0,2
VEH00428,Hatchback,90.0,5
VEH00429,Pickup,90.0,9
VEH00430,Sedan,90.0,9
VEH00431,Pickup,50.0,7
VEH00432,Hatchback,90.0,6
VEH00433,SUV,50.0,0
VEH00434,Sedan,80.0,5
VEH00435,SUV,90.0,4
VEH00436,Sedan,60.0,10
VEH00437,SUV,50.0,6
VEH00438,Sedan,70.0,1
VEH00439,Sedan,60.0,7
VEH00440,Sedan,60.0,1
VEH00441,Pickup,70.0,7
VEH00442,Sedan,50.0,2
VEH00443,SUV,70.0,3
VEH00444,Hatchback,60.0,5
VEH00445,SUV,80.0,3
VEH00446,Sedan,90.0,7
VEH00447,SUV,60.0,1
VEH00448,Sedan,70.0,4
VEH00449,Hatchback,100.0,11
VEH00450,Van,70.0,3
VEH00451,Pickup,70.0,9
VEH00452,Hatchback,60.0,6
VEH00453,Hatchback,90.0,4
VEH00454,Van,40.0,2
VEH00455,Sedan,40.0,8
VEH00456,Pickup,80.0,11
VEH00457,Hatchback,50.0,2
VEH00458,Hatchback,50.0,4
VEH00459,SUV,70.0,10
VEH00460,Hatchback,70.0,6
VEH00461,Hatchback,60.0,7
VEH00462,Sedan,90.0,5
VEH00463,Hatchback,60.0,0
VEH00464,Sedan,90.0,0
VEH00465,SUV,50.0,10
VEH00466,Van,60.0,10
VEH00467,Sedan,70.0,4
VEH00468,Pickup,50.0,5
VEH00469,Hatchback,40.0,10
VEH00470,Sedan,50.0,8
VEH00471,Sedan,70.0,10
VEH00472,Sedan,40.0,5
VEH00473,SUV,40.0,3
VEH00474,SUV,80.0,8
VEH00475,Pickup,50.0,6
VEH00476,SUV,90.0,0
VEH00477,SUV,80.0,8
VEH00478,SUV,70.0,2
VEH00479,SUV,70.0,11
VEH00480,Hatchback,90.0,3
VEH00481,SUV,50.0,3
VEH00482,Sedan,90.0,7
VEH00483,Hatchback,60.0,7
VEH00484,Hatchback,90.0,10
VEH00485,SUV,70.0,3
VEH00486,Sedan,50.0,5
VEH00487,Van,60.0,10
VEH00488,Sedan,50.0,10
VEH00489,SUV,50.0,0
VEH00490,Hatchback,100.0,9
VEH00491,Pickup,60.0,3
VEH00492,Sedan,80.0,2
VEH00493,Sedan,60.0,3
VEH00494,SUV,60.0,8
VEH00495,Sedan,70.0,4
VEH00496,Sedan,70.0,3
VEH00497,Sedan,80.0,3
VEH00498,Sedan,50.0,11
VEH00499,Pickup,40.0,8
VEH00500,SUV,100.0,3
VEH00501,Hatchback,80.0,6
VEH00502,SUV,60.0,9
VEH00503,SUV,70.0,7
VEH00504,Sedan,50.0,7
VEH00505,SUV,50.0,5
VEH00506,Sedan,50.0,3
VEH00507,Sedan,70.0,4
VEH00508,Pickup,60.0,1
VEH00509,SUV,70.0,10
VEH00510,Van,40.0,9
VEH00511,SUV,80.0,8
VEH00512,SUV,80.0,0
VEH00513,Pickup,60.0,6
VEH00514,SUV,90.0,1
VEH00515,Sedan,70.0,11
VEH00516,SUV,50.0,4
VEH00517,Hatchback,100.0,3
VEH00518,SUV,50.0,6
VEH00519,Hatchback,40.0,6
VEH00520,SUV,50.0,6
VEH00521,SUV,70.0,6
VEH00522,SUV,60.0,3
VEH00523,Van,90.0,3
VEH00524,Hatchback,60.0,8
VEH00525,Sedan,40.0,5
VEH00526,Pickup,60.0,5
VEH00527,Sedan,50.0,5
VEH00528,Sedan,40.0,1
VEH00529,Van,80.0,8
VEH00530,Sedan,90.0,9
VEH00531,Hatchback,70.0,2
VEH00532,Van,90.0,1
VEH00533,Pickup,100.0,10
VEH00534,SUV,90.0,1
VEH00535,Pickup,50.0,10
VEH00536,Pickup,80.0,11
VEH00537,Sedan,60.0,5
VEH00538,SUV,60.0,6
VEH00539,Sedan,100.0,4
VEH00540,SUV,70.0,7
VEH00541,SUV,70.0,5
VEH00542,SUV,40.0,2
VEH00543,Sedan,80.0,11
VEH00544,SUV,60.0,8
VEH00545,Sedan,40.0,1
VEH00546,Pickup,60.0,8
VEH00547,Hatchback,90.0,5
VEH00548,Hatchback,80.0,11
VEH00549,SUV,90.0,6
VEH00550,Hatchback,50.0,1
VEH00551,SUV,100.0,7
VEH00552,SUV,40.0,7
VEH00553,Sedan,80.0,2
VEH00554,Hatchback,50.0,10
VEH00555,SUV,40.0,4
VEH00556,Pickup,70.0,7
VEH00557,Sedan,60.0,3
VEH00558,Sedan,90.0,10
VEH00559,Pickup,80.0,5
VEH00560,Sedan,80.0,10
VEH00561,Pickup,70.0,5
VEH00562,Hatchback,80.0,9
VEH00563,Sedan,60.0,4
VEH00564,SUV,50.0,7
VEH00565,SUV,70.0,2
VEH00566,Sedan,70.0,6
VEH00567,Hatchback,60.0,4
VEH00568,Van,80.0,2
VEH00569,Sedan,80.0,7
VEH00570,Sedan,100.0,8
VEH00571,Sedan,40.0,11
VEH00572,Sedan,50.0,9
VEH00573,Hatchback,60.0,9
VEH00574,Hatchback,50.0,2
VEH00575,Pickup,70.0,2
VEH00576,Pickup,50.0,8
VEH00577,Pickup,90.0,4
VEH00578,SUV,50.0,11
VEH00579,SUV,60.0,3
VEH00580,Sedan,70.0,0
VEH00581,Sedan,50.0,1
VEH00582,Sedan,50.0,8
VEH00583,Hatchback,70.0,7
VEH00584,Pickup,70.0,3
VEH00585,SUV,70.0,8
VEH00586,SUV,60.0,2
VEH00587,SUV,90.0,0
VEH00588,Sedan,90.0,9
VEH00589,Sedan,80.0,3
VEH00590,Hatchback,50.0,7
VEH00591,Pickup,40.0,0
VEH00592,Pickup,70.0,9
VEH00593,Pickup,90.0,2
VEH00594,Sedan,90.0,10
VEH00595,Pickup,60.0,7
VEH00596,Pickup,50.0,6
VEH00597,Sedan,50.0,8
VEH00598,SUV,50.0,1
VEH00599,Sedan,70.0,8
VEH00600,SUV,70.0,0
VEH00601,Hatchback,50.0,7
VEH00602,Pickup,70.0,9
VEH00603,Sedan,100.0,10
VEH00604,SUV,80.0,2
VEH00605,SUV,40.0,8
VEH00606,Sedan,50.0,2
VEH00607,Sedan,50.0,11
VEH00608,Sedan,40.0,8
VEH00609,Sedan,90.0,7
VEH00610,Pickup,100.0,3
VEH00611,Pickup,50.0,1
VEH00612,Van,90.0,0
VEH00613,Sedan,60.0,5
VEH00614,Sedan,90.0,9
VEH00615,Sedan,60.0,2
VEH00616,SUV,60.0,11
VEH00617,Pickup,50.0,0
VEH00618,Pickup,40.0,2
VEH00619,Hatchback,90.0,11
VEH00620,SUV,60.0,11
VEH00621,SUV,60.0,8
VEH00622,Hatchback,60.0,4
VEH00623,SUV,90.0,1
VEH00624,Hatchback,90.0,10
VEH00625,Van,90.0,5
VEH00626,SUV,80.0,3
VEH00627,Sedan,40.0,8
VEH00628,Hatchback,100.0,6
VEH00629,Sedan,60.0,7
VEH00630,Hatchback,60.0,10
VEH00631,Hatchback,90.0,10
VEH00632,Van,70.0,6
VEH00633,Sedan,40.0,10
VEH00634,Sedan,70.0,0
VEH00635,Hatchback,70.0,0
VEH00636,SUV,90.0,0
VEH00637,Hatchback,50.0,6
VEH00638,SUV,90.0,4
VEH00639,Sedan,60.0,10
VEH00640,Pickup,70.0,6
VEH00641,SUV,80.0,9
VEH00642,Hatchback,70.0,5
VEH00643,Sedan,80.0,9
VEH00644,Pickup,40.0,2
VEH00645,Pickup,40.0,6
VEH00646,Pickup,90.0,7
VEH00647,Van,90.0,6
VEH00648,SUV,60.0,6
VEH00649,Pickup,50.0,1
VEH00650,SUV,40.0,3
VEH00651,Sedan,100.0,11
VEH00652,SUV,50.0,10
VEH00653,SUV,60.0,1
VEH00654,Sedan,80.0,0
VEH00655,Hatchback,70.0,2
VEH00656,Pickup,60.0,9
VEH00657,SUV,50.0,6
VEH00658,Hatchback,70.0,0
VEH00659,SUV,100.0,6
VEH00660,Van,40.0,10
VEH00661,Sedan,90.0,0
VEH00662,Pickup,60.0,7
VEH00663,Sedan,100.0,5
VEH00664,Hatchback,60.0,5
VEH00665,Hatchback,100.0,7
VEH00666,Van,100.0,2
VEH00667,Hatchback,70.0,10
VEH00668,Sedan,50.0,11
VEH00669,Sedan,100.0,4
VEH00670,Hatchback,60.0,3
VEH00671,Sedan,60.0,1
VEH00672,Van,60.0,1
VEH00673,Pickup,70.0,11
VEH00674,Pickup,60.0,7
VEH00675,Sedan,80.0,1
VEH00676,Sedan,80.0,4
VEH00677,Sedan,50.0,0
VEH00678,Van,80.0,8
VEH00679,Sedan,40.0,4
VEH00680,Hatchback,60.0,1
VEH00681,Sedan,40.0,4
VEH00682,Pickup,90.0,9
VEH00683,Pickup,50.0,6
VEH00684,SUV,60.0,9
VEH00685,SUV,40.0,10
VEH00686,SUV,50.0,3
VEH00687,SUV,50.0,8
VEH00688,Sedan,60.0,4
VEH00689,SUV,40.0,7
VEH00690,Sedan,80.0,5
VEH00691,Sedan,40.0,11
VEH00692,SUV,60.0,4
VEH00693,SUV,90.0,6
VEH00694,Hatchback,50.0,6
VEH00695,Sedan,100.0,7
VEH00696,SUV,50.0,6
VEH00697,SUV,90.0,4
VEH00698,Hatchback,40.0,11
VEH00699,Pickup,40.0,1
VEH00700,Pickup,80.0,6
VEH00701,Pickup,40.0,6
VEH00702,Hatchback,70.0,4
VEH00703,Sedan,70.0,6
VEH00704,SUV,80.0,0
VEH00705,Sedan,70.0,7
VEH00706,Sedan,50.0,2
VEH00707,Hatchback,40.0,11
VEH00708,SUV,70.0,11
VEH00709,Pickup,90.0,10
VEH00710,Van,60.0,6
VEH00711,Sedan,90.0,6
VEH00712,SUV,60.0,7
VEH00713,Sedan,90.0,5
VEH00714,Sedan,70.0,4
VEH00715,SUV,60.0,8
VEH00716,SUV,60.0,2
VEH00717,SUV,40.0,4
VEH00718,Pickup,40.0,5
VEH00719,Pickup,40.0,3
VEH00720,Sedan,80.0,1
VEH00721,Sedan,80.0,6
VEH00722,Hatchback,50.0,5
VEH00723,Pickup,100.0,8
VEH00724,Sedan,90.0,3
VEH00725,SUV,70.0,6
VEH00726,Hatchback,90.0,9
VEH00727,Sedan,90.0,1
VEH00728,Sedan,90.0,1
VEH00729,Sedan,70.0,0
VEH00730,SUV,60.0,10
VEH00731,Sedan,50.0,5
VEH00732,SUV,50.0,2
VEH00733,SUV,70.0,1
VEH00734,Hatchback,80.0,7
VEH00735,Hatchback,50.0,9
VEH00736,Van,100.0,7
VEH00737,Sedan,60.0,8
VEH00738,SUV,60.0,6
VEH00739,SUV,70.0,8
VEH00740,Sedan,50.0,10
VEH00741,Pickup,100.0,3
VEH00742,SUV,60.0,7
VEH00743,Van,70.0,6
VEH00744,Sedan,60.0,3
VEH00745,Hatchback,70.0,7
VEH00746,Sedan,70.0,3
VEH00747,Hatchback,50.0,6
VEH00748,SUV,70.0,7
VEH00749,Hatchback,80.0,3
VEH00750,Van,90.0,9
VEH00751,Sedan,90.0,0
VEH00752,SUV,100.0,7
VEH00753,SUV,60.0,7
VEH00754,Sedan,40.0,2
VEH00755,Sedan,70.0,2
VEH00756,Van,50.0,6
VEH00757,Pickup,60.0,1
VEH00758,Sedan,40.0,11
VEH00759,Van,90.0,3
VEH00760,Van,80.0,2
VEH00761,SUV,70.0,4
VEH00762,Sedan,80.0,6
VEH00763,Hatchback,50.0,10
VEH00764,Sedan,90.0,8
VEH00765,Hatchback,90.0,6
VEH00766,Pickup,40.0,6
VEH00767,Sedan,70.0,10
VEH00768,Sedan,70.0,2
VEH00769,SUV,60.0,10
VEH00770,Sedan,40.0,5
VEH00771,Sedan,60.0,1
VEH00772,Hatchback,40.0,11
VEH00773,SUV,50.0,9
VEH00774,Hatchback,70.0,11
VEH00775,Sedan,80.0,8
VEH00776,SUV,40.0,6
VEH00777,Pickup,100.0,2
VEH00778,SUV,80.0,1
VEH00779,SUV,60.0,1
VEH00780,Sedan,50.0,1
VEH00781,Sedan,90.0,10
VEH00782,SUV,70.0,5
VEH00783,Sedan,70.0,6
VEH00784,SUV,70.0,8
VEH00785,Hatchback,80.0,8
VEH00786,Sedan,70.0,6
VEH00787,Hatchback,80.0,3
VEH00788,SUV,40.0,11
VEH00789,Van,70.0,6
VEH00790,Sedan,60.0,4
VEH00791,Van,80.0,6
VEH00792,SUV,70.0,1
VEH00793,Sedan,60.0,8
VEH00794,Sedan,70.0,0
VEH00795,Sedan,50.0,7
VEH00796,Sedan,40.0,9
VEH00797,SUV,80.0,9
VEH00798,Van,60.0,10
VEH00799,SUV,80.0,6
VEH00800,Hatchback,70.0,0
VEH00801,Van,50.0,2
VEH00802,Sedan,80.0,7
VEH00803,Pickup,80.0,11
VEH00804,Sedan,80.0,1
VEH00805,Pickup,60.0,2
VEH00806,Sedan,50.0,3
VEH00807,Hatchback,50.0,6
VEH00808,Hatchback,40.0,9
VEH00809,Pickup,40.0,4
VEH00810,Sedan,70.0,10
VEH00811,Sedan,70.0,5
VEH00812,Van,50.0,1
VEH00813,Pickup,90.0,4
VEH00814,Pickup,60.0,8
VEH00815,Pickup,60.0,9
VEH00816,Sedan,50.0,9
VEH00817,Sedan,40.0,5
VEH00818,Sedan,70.0,5
VEH00819,SUV,80.0,9
VEH00820,SUV,90.0,2
VEH00821,Pickup,90.0,2
VEH00822,SUV,40.0,10
VEH00823,Pickup,40.0,5
VEH00824,Van,40.0,11
VEH00825,SUV,50.0,5
VEH00826,Hatchback,40.0,5
VEH00827,Sedan,80.0,1
VEH00828,Sedan,60.0,8
VEH00829,Sedan,60.0,11
VEH00830,Sedan,80.0,10
VEH00831,SUV,70.0,6
VEH00832,Sedan,100.0,10
